"event_name","group","date","category"
"Let's Get Playful! Playful Perspectives with Sarah Filman","by NOVA Scribesicon4.8","Wed, Jan 14, 2026 · 6:00 PM EST","Art Entertainment"
"Sketch at the relaxing Roerich Museum!","by Central Park Sketching & Art Meetup Groupicon4.8","Sat, Dec 6 · 12:00 PM EST","Art Entertainment"
"Movie, Art and Design meet","by NYC MAD - Movie, Art and Designicon4.6","Sun, Dec 14 · 4:00 PM EST","Art Entertainment"
"Columbia DSL Fall Semester Student Showcase - storytelling + emerging tech","by Columbia Digital Storytelling Labicon4.7","Mon, Dec 8 · 7:00 PM EST","Art Entertainment"
"Improv & Mistletoe - Live Comedy Improv Show","by 901 Innovation's - Improv/NYCicon4.8","Fri, Dec 12 · 8:00 PM EST","Art Entertainment"
"Merrily We Roll Along - The Movie of the Broadway Show","by Out and About in the City and Having Funicon4.6","Sat, Dec 6 · 3:30 PM EST","Art Entertainment"
"""The Awkward Person's Guide to Not Being Awkward"" Drop-In Improv","by 901 Innovation's - Improv/NYCicon4.8","Wed, Dec 17 · 6:00 PM EST","Art Entertainment"
"Reading of Annie Baker's Infinite Life","by New York City Play Reading Groupicon4.9","Sat, Dec 13 · 1:00 PM EST","Art Entertainment"
"King Lear-Part 4","by New York Shakespeare Reading Groupicon4.8","Sun, Dec 7 · 4:00 PM EST","Art Entertainment"
"Make Art and Crafts together","by Williamsburg Art and Crafts Clubicon4.8","Every Mon • Dec 8 · 7:00 PM EST","Art Entertainment"
"King Lear-5","by New York Shakespeare Reading Groupicon4.8","Sun, Dec 14 · 4:00 PM EST","Art Entertainment"
"The New York Places You Would Most Like to Visit or Learn More About Are???","by New York History and Culture - Experience NY and the Worldicon4.7","Wed, Dec 31 · 12:00 PM EST","Art Entertainment"
"Plein-Air/drawing at Cooper Hewitt Museum / The garden outside","by Plein-Air Painters of NYCicon4.8","Sun, Dec 7 · 1:00 PM EST","Art Entertainment"
"Reading of Simon Stone's Yerma","by New York City Play Reading Groupicon4.9","Sat, Dec 6 · 1:00 PM EST","Art Entertainment"
"See ""Song Sung Blue"", visit Dyker Heights Christmas lights and dinner","by Out and About in the City and Having Funicon4.6","Sat, Dec 27 · 12:30 PM EST","Art Entertainment"
"IMPROV YOUR LIFE (Via Zoom)","by Fairfield County / Metro NYC Improv Comedyicon4.8","Monthly • Thu, Dec 4 · 7:15 PM EST","Art Entertainment"
"SECOND TUESDAYS Life Drawing Session","by Old Stone House Drawing Studioicon4.8","Tue, Dec 9 · 7:00 PM EST","Art Entertainment"
"In person Meetup","by NYC Drawing Meetup!icon4.8","Wed, Dec 17 · 6:00 PM EST","Art Entertainment"
"Neighborhood Reading Series; A CHRISTMAS CAROL","by Theatre East","Wed, Dec 10 · 6:30 PM EST","Art Entertainment"
"Make Art and Crafts together in the Bronx","by Williamsburg Art and Crafts Clubicon4.8","Every Tue • Dec 9 · 4:00 PM EST","Art Entertainment"
"Final Art Gallery Walk of 2025-Great Women Artists in Chelsea!","by NYC Art Gallery Tours Meetup Groupicon4.9","Fri, Dec 12 · 3:00 PM EST","Art Entertainment"
"Friday Night Drink and Draw in Greenpoint, Brooklyn","by Greenpoint Figure Drawing - Weekly Drink and Drawicon4.8","Fri, Dec 5 · 7:00 PM EST","Art Entertainment"
"Weekly Art Warmup","by Boulder Art Associationicon4.9","Every Mon • Dec 8 · 10:00 AM MST","Art Entertainment"
"Rain date: Painting a Giant Pigeon (and the High Line I guess)","by Painting the Cityicon4.9","Sun, Dec 7 · 11:00 AM EST","Art Entertainment"
"KNITTING AND CROCHETING TOGETHER","by Crafts and Coffee at Moshava Coffeeicon4.8","Wed, Dec 10 · 6:30 PM EST","Art Entertainment"
"Monday Night Drink and Draw in Greenpoint, Brooklyn","by Greenpoint Figure Drawing - Weekly Drink and Drawicon4.8","Mon, Dec 8 · 7:00 PM EST","Art Entertainment"
"Friday Night Drink and Draw in Greenpoint, Brooklyn","by Greenpoint Figure Drawing - Weekly Drink and Drawicon4.8","Fri, Dec 12 · 7:00 PM EST","Art Entertainment"
"Friday Night Drink and Draw in Greenpoint, Brooklyn","by Greenpoint Figure Drawing - Weekly Drink and Drawicon4.8","Fri, Dec 19 · 7:00 PM EST","Art Entertainment"
"Thursday Rock It Early Mic at the Producer's club!","by New York Open Mic Meetup Group at the Producer’s clubicon4.9","Every Thu • Dec 4 · 6:00 PM EST","Art Entertainment"
"Second Sunday Socials","by Theatre East","Sun, Dec 14 · 5:00 PM EST","Art Entertainment"
"KNITTING AND CROCHETING TOGETHER","by Crafts and Coffee at Moshava Coffeeicon4.8","Wed, Dec 17 · 6:30 PM EST","Art Entertainment"
"Draw and Color your stress away","by Color your stress awayicon4.8","Sun, Dec 14 · 11:00 AM CST","Art Entertainment"
"NYC Drawn to Stories (PIT loft)","by NYC Drawn to Stories - art & laughs","Fri, Dec 5 · 10:00 PM EST","Art Entertainment"
"Holiday Lightscape + Lodge at the Brooklyn Botanical Garden (ART-FULL MEMBERS)","by Women of Culture NYCicon4.8","Sat, Dec 13 · 5:30 PM EST","Art Entertainment"
"Improve Your Drawings (instructor Simon)","by Drawing Brooklynicon4.9","Thu, Dec 11 · 6:30 PM EST","Art Entertainment"
"Open Theater Meetup Groups","by New York Acting Training Meetup Groupicon4.3","Every Mon • Dec 8 · 6:30 PM EST","Art Entertainment"
"Art-full Holiday Celebration & Ugly Sweater Soirée","by Women of Culture NYCicon4.8","Fri, Dec 19 · 6:30 PM EST","Art Entertainment"
"Friday Morning Coffee and Sketch","by The Good Art Companyicon4.8","Every Fri • Dec 5 · 10:30 AM EST","Art Entertainment"
"Classical music& art&exclusive social","by NYC EastWest Elite MeetUp","Sat, Dec 6 · 6:00 PM EST","Art Entertainment"
