"event_name","group","date","category"
"Toastmasters at Queens  - 5:30 to 6:30pm","by Toastmasters at Queen'sicon4.8","Every Thu • Dec 4 · 5:30 PM EST","Career Business"
"[Register on Luma] Tech and Startup Networking Mixer","by Tech Startups of New Yorkicon4.3","Thu, Dec 4 · 5:00 PM EST","Career Business"
"[Register on Luma] The Ultimate NYC Startup Tech Mixer","by Tech Startups of New Yorkicon4.3","Thu, Dec 4 · 5:30 PM EST","Career Business"
"*In Person* Practice and improve your public speaking skills!","by Greenspeakers Toastmasters Club - Practice Public Speakingicon4.8","Tue, Dec 9 · 6:45 PM EST","Career Business"
"UX Happy Hour irl (open to all levels)","by UX Support Groupicon4.8","Every Thu • Dec 4 · 6:00 PM EST","Career Business"
"Thursday Night - Live In Person Trading. All levels welcome-Pizza served- zoom*","by Day Traders of New York Beginners and Intermediate levelsicon4.1","Thu, Dec 18 · 6:00 PM EST","Career Business"
"AIxUX Virtual Summit 2025","by UX Support Groupicon4.8","Wed, Dec 10 · 9:00 AM EST","Career Business"
"NYC Content Creators Meetup: Connect, Collaborate & Inspire","by Content Creators Exchange of New Yorkicon4.6","Sat, Dec 13 · 3:00 PM EST","Career Business"
"*In Person* Practice and improve your public speaking skills!","by Greenspeakers Toastmasters Club - Practice Public Speakingicon4.8","Thu, Dec 18 · 6:45 PM EST","Career Business"
"New York Traders Happy Hour","by New York Tradersicon4.5","Mon, Dec 15 · 6:00 PM EST","Career Business"
"Grow Your Direct Bookings w/ StayFi CEO 🚀","by NYC Hosts & Investors - Airbnb/STR Investing and Networkingicon4.8","Mon, Dec 8 · 6:00 PM EST","Career Business"
"Real Estate Networking Event NYC: WAGMI-Connect","by WAGMI-Connect Networking Eventsicon4.7","Wed, Dec 17 · 7:00 PM EST","Career Business"
"BUMC Toastmasters Meeting","by Toastmasters: Eastern Massachusetts and Rhode Islandicon4.7","Monthly • Thu, Dec 4 · 5:15 PM EST","Career Business"
"NJ Real Estate Networking + Group Learning + Toy & Coat Drive + Cash Giveaway!","by NJ Real Estate Investor IQ Circle - Abundance & Networkingicon4.8","Tue, Dec 16 · 6:30 PM EST","Career Business"
"Live in Person Trading, Discussion, and Chart Analysis Next to Penn (zoom avail)","by New York Forex and Options Trading Groupicon4.7","Thu, Dec 18 · 6:00 PM EST","Career Business"
"In person - FX and Options Trading - next to Penn station! - w/zoom*","by Traders of North Jersey Fx Stocks and Optionsicon4.1","Fri, Dec 19 · 6:00 PM EST","Career Business"
"Sunday Drop-In Improv Class 4:30pm-6:30pm ($15)","by Improv NOW! - NYC Weekly Improv Classes & Performancesicon4.8","Every Sun • Dec 7 · 4:30 PM EST","Career Business"
"AI Networking Event: Multi -Vertical NYC Mixer","by WAGMI-Connect Networking Eventsicon4.7","Wed, Dec 17 · 7:00 PM EST","Career Business"
"Astoria NY Toastmasters Meeting 12/4/25","by Astoria Toastmasters Meetup Groupicon4.2","Thu, Dec 4 · 7:00 PM EST","Career Business"
"A virtual tribute to the Who and the Guess Who!","by New York Tech Karaoke Meetupicon4.7","Thu, Dec 4 · 6:30 PM EST","Career Business"
