"event_name","group","date","category"
"Pay What You Wish Sunday at PMoA Phildalphia","by Exploring and Enjoying NYCicon4.6","Sun, Dec 7 · 8:30 AM EST","Community Environment"
"New York Bake Exchange📈🍪🥠🏛️","by Social Striders Running Clubicon5.0","Sat, Dec 13 · 3:00 PM EST","Community Environment"
"☃️Let's play board games!!🎅🤶","by Social Striders Running Clubicon5.0","Sun, Dec 7 · 2:00 PM EST","Community Environment"
"UAS Virtual Happy Hour","by Unallocated Spaceicon4.8","Every Thu • Dec 4 · 6:00 PM EST","Community Environment"
"Central Park Sunday Fun Run + Coffee","by Social Striders Running Clubicon5.0","Every Sun • Dec 7 · 10:00 AM EST","Community Environment"
"Central Park Saturday Run, Walk and Coffee Talk","by Social Striders Running Clubicon5.0","Every Sat • Dec 6 · 10:00 AM EST","Community Environment"
"DEFAULT: In-Person Meeting and (No-Media) Freeganism 101 & Trash Tour","by NYC Freegan Meetupicon4.5","Monthly • Thu, Dec 11 · 7:30 PM EST","Community Environment"
"BRONX volunteers needed","by NYC Non-Profit Meetup (nonprofit volunteers)icon4.8","Every Thu • Dec 4 · 7:00 PM EST","Community Environment"
"ST. Lutheran's Church","by NYC Non-Profit Meetup (nonprofit volunteers)icon4.8","Monthly • Tue, Dec 9 · 12:45 PM EST","Community Environment"
"Info Session: Upcoming 30-hour Civil Mediation Training and Volunteering","by Mediation Volunteering - Dispute Resolution Center","Every Thu • Dec 4 · 6:00 PM CST","Community Environment"
"Monthly 350NYC Meeting","by 350NYCicon4.7","Monthly • Wed, Dec 24 · 7:00 PM EST","Community Environment"
"Helping the homeless to get off the streets this winter","by NYC Non-Profit Meetup (nonprofit volunteers)icon4.8","Every two weeks on Sat • Dec 13 · 7:00 PM EST","Community Environment"
"New Year's Eve 2026 Silent Disco - Astoria","by Friends of Astoria/LIC & Beyondicon4.7","Wed, Dec 31 · 9:00 PM EST","Community Environment"
"🌱 Cleaning & Watering Day at DEFG 🌼","by Diversity Edible Farm Garden (DEFG) Meetup Group","Every Sun • Dec 7 · 10:30 AM EST","Community Environment"
"Just Show Up Book Club (JSU) & Public Reading of Scripture (PRS) - WEDNESDAYS","by @i8NYC presents: AGAPE 🙏icon4.7","Every Wed • Dec 10 · 11:00 AM EST","Community Environment"
"Sunday Service @ Hope Midtown - 12PM service","by @i8NYC presents: AGAPE 🙏icon4.7","Every Sun • Dec 7 · 12:00 PM EST","Community Environment"
"Sunday Service @ Hope Midtown - 10AM service","by @i8NYC presents: AGAPE 🙏icon4.7","Every Sun • Dec 7 · 10:00 AM EST","Community Environment"
"Just Show Up Book Club (JSU) & Public Reading of Scripture (PRS) - FRIDAYS","by @i8NYC presents: AGAPE 🙏icon4.7","Every Fri • Dec 5 · 7:00 AM EST","Community Environment"
"Beginner Esperanto Conversation Meetup + “La Bona Lingvo""","by Evolving Lingvo NYCicon4.7","Sun, Dec 7 · 12:00 PM EST","Community Environment"
