"event_name","group","date","category"
"Belly Dance Beginner Level 2 - Thursdays at 6:00 PM (CT)","by Learn Belly Dance Online Carolina Angulo Belly Dancericon5.0","Every Thu • Dec 4 · 6:00 PM CST","Dancing"
"Internationals and Language Mixer","by Social NYCicon4.7","Sat, Dec 6 · 8:00 PM EST","Dancing"
"Back to the '80s WEEKLY Saturday Dance Party ""daylight"" hours 5 pm - 9 pm,FREE !","by Manhattan Saturday '80s Dance Partyicon4.7","Every Sat • Dec 6 · 5:00 PM EST","Dancing"
"Cuban Salsa & Rueda de Casino Classes!","by Cuban Salsa New Yorkicon4.8","Every Sun • Dec 7 · 5:00 PM EST","Dancing"
"Cuban Salsa & Rueda de Casino Classes!","by Cuban Salsa New Yorkicon4.8","Every Wed • Dec 10 · 7:00 PM EST","Dancing"
"Beginner Bachata Classes in Queens","by New York Salsa Dance Lessons Meetup Groupicon4.7","Every Sat • Dec 6 · 5:00 PM EST","Dancing"
"Internationals and Language Mixer","by Social NYCicon4.7","Sat, Dec 13 · 7:00 PM EST","Dancing"
"Beginner Bachata Lessons in Brooklyn","by New York Salsa Dance Lessons Meetup Groupicon4.7","Every Wed • Dec 10 · 6:00 PM EST","Dancing"
"Holiday Noche Cubana","by Cuban Salsa New Yorkicon4.8","Sat, Dec 27 · 8:00 PM EST","Dancing"
"New Beginner Salsa Classes in Astoria Queens","by Cucala Dance Company - Latin Dance - Salsa On2 Classes","Every Sat • Dec 6 · 4:00 PM EST","Dancing"
"Online Belly Dance Class for Beginners - New Group!","by Learn Belly Dance Online Carolina Angulo Belly Dancericon5.0","Every Thu • Dec 4 · 7:00 PM CST","Dancing"
"Beginner Bachata Classes in Manhattan","by New York Salsa Dance Lessons Meetup Groupicon4.7","Every Mon • Dec 8 · 6:00 PM EST","Dancing"
"Hip-Hop Dance Class","by New York Dance Meetup Group","Every Thu • Dec 4 · 7:30 PM EST","Dancing"
"New Beginner Salsa Classes in LIC Queens","by Cucala Dance Company - Latin Dance - Salsa On2 Classes","Every Tue • Dec 9 · 7:00 PM EST","Dancing"
"Blues Holiday Pot Luck Dance Party","by Blues Dance New Yorkicon4.7","Sat, Dec 13 · 8:30 PM EST","Dancing"
"New Beginner Cumbia Classes in LIC Queens","by Cucala Dance Company - Latin Dance - Salsa On2 Classes","Every Wed • Dec 10 · 7:00 PM EST","Dancing"
"Thursday -  LDFF VIRTUAL LINE DANCE CLASS w/ Hy N-R-G","by Dance -Line Dance Fever & Fitness -LDFFNCicon4.9","Every Thu • Dec 4 · 7:00 PM EST","Dancing"
"Bachata Meets Salsa (FREE ENTRANCE AND CLASS)","by Bachata Heaven Socialicon4.8","Every Wed • Dec 10 · 8:00 PM EST","Dancing"
"New Beginner Salsa Classes in LIC Queens","by Cucala Dance Company - Latin Dance - Salsa On2 Classes","Every Sun • Dec 7 · 3:00 PM EST","Dancing"
"DJ TM.8 presents: Back to the '80s WEEKLY Saturday Dance Party, 5 pm - 9pm FREE!","by Manhattan Saturday '80s Dance Partyicon4.7","Sat, Dec 27 · 5:00 PM EST","Dancing"
"Sundown Swing","by New York West Coast Swing","Every Sun • Dec 21 · 1:00 PM EST","Dancing"
"Latin Nights, Salsa & Bachata @ The Rose NYC","by New York City Bachata","Every Tue • Dec 9 · 8:30 PM EST","Dancing"
"Beginner Argentine Tango - on-demand","by Ultimate Tango School of Dance - Anita & Hernan Brizuelaicon4.3","Every Tue, Thu • Dec 4 · 7:00 PM EST","Dancing"
"Bachata Meets Salsa (FREE CLASS AND ENTRANCE)","by Salsa & Bachata Dance Lessons Meetupicon4.7","Every Wed • Dec 10 · 8:00 PM EST","Dancing"
"Latin Nights, Salsa y Bachata Sundays!","by New York City Bachata","Every Sun • Dec 7 · 4:00 PM EST","Dancing"
"AFROBEAT FUSION DANCE CLASS","by Afrobeat Dance and Fitness  NYCicon4.9","Every Tue • Dec 9 · 7:00 PM EST","Dancing"
