"event_name","group","date","category"
"Blood on the Clocktower","by Uptown NYC Board Gamersicon4.8","Every Fri • Dec 5 · 6:00 PM EST","Games"
"Craft Night","by Indianapolis LARP Live Action Roleplay","Every Thu • Dec 4 · 5:30 PM EST","Games"
"Boardgames at Clinton Hall in Midtown East!","by NYC Boardgame Icebreakers - Meet • Drink •  Playicon4.7","Every two weeks on Wed • Dec 17 · 7:00 PM EST","Games"
"Focal Point - LIC","by LIC Board Gamesicon4.9","Every Thu • Dec 4 · 7:00 PM EST","Games"
"Sunday Night Gaming at Hex & Co. West","by Uptown NYC Board Gamersicon4.8","Every Sun • Dec 7 · 5:00 PM EST","Games"
"RPG One-Shots—Beginners Welcome!","by NYC Tabletop RPGsicon4.9","Thu, Dec 4 · 6:00 PM EST","Games"
"NY Public Library TTRPG Open Tables","by NYC Dice Goblins - Dungeons and Dragons 5E for Beginners+icon4.9","Sat, Dec 6 · 11:15 AM EST","Games"
"Saturday Games at Brookfield Place","by Uptown NYC Board Gamersicon4.8","Every Sat • Dec 6 · 2:00 PM EST","Games"
"Tabletop Tuesday","by Tabletop Tuesdayicon4.9","Tue, Dec 9 · 6:00 PM EST","Games"
"Play board games and meet cool people!","by Prospect Park Board Gaming Clubicon4.8","Every two weeks on Fri • Dec 12 · 6:30 PM EST","Games"
"Skate Story Launch Party","by GUMBO Collective Eventsicon4.8","Thu, Dec 4 · 6:00 PM EST","Games"
"Sunday Boggle and Scrabble","by NYC Bogglers and Scrabblersicon4.6","Sun, Dec 7 · 2:00 PM EST","Games"
"Free Learn2Play D&D Event (Saturday, Dec. 13)!","by NYC Dice Goblins - Dungeons and Dragons 5E for Beginners+icon4.9","Sat, Dec 13 · 12:00 PM EST","Games"
"Wednesday Night Gaming at THE UNCOMMONS","by Uptown NYC Board Gamersicon4.8","Every Wed • Dec 10 · 7:00 PM EST","Games"
"Thursday Night Trivia - Online!","by Central Jersey Trivia Nighticon4.7","Thu, Dec 4 · 7:30 PM EST","Games"
"CANCELLED - Tuesday Backgammon Tournament at the Manhattan Games Center","by Manhattan Games Centericon4.9","Tue, Dec 16 · 7:00 PM EST","Games"
"ONLINE Mystic Vale","by Voorhees Boardgames Meetup Groupicon4.9","Thu, Dec 4 · 7:00 PM EST","Games"
"Clocktower for All, Sundays at the Hugh!","by Blood on the Clocktower at The Hughicon4.9","Every Sun • Dec 7 · 2:00 PM EST","Games"
"GUMBO Sunday Sprints (FREE COWORKING!)","by GUMBO Collective Eventsicon4.8","Sun, Dec 7 · 10:00 AM EST","Games"
"Brooklyn Tabletop Role Playing Games, in person","by New York LGBT Board games Meetup Groupicon4.6","Thu, Dec 4 · 6:00 PM EST","Games"
"Let's Play Word Games in Midtown","by NYNJA Word Puzzles and Word Gamesicon4.6","Thu, Dec 11 · 6:00 PM EST","Games"
"NYC Backgammon at Josie Woods","by New York City Backgammonicon4.7","Tue, Dec 16 · 6:00 PM EST","Games"
"Play Go in Queens (LIC) - Thursdays","by Gotham Go Groupicon4.8","Every Thu • Dec 4 · 6:00 PM EST","Games"
