"event_name","group","date","category"
"За пределами обычного дыхания","by Art of Living NYC: Russian Speakers","Every Sun • Dec 7 · 11:00 AM EST","Health Wellbeing"
"Keto for Mental Health-Support Group","by Keto lifestyle for mental healthicon4.7","Thu, Dec 4 · 6:00 PM EST","Health Wellbeing"
"Fusion Psychology Workshop","by Letting Go Workshopsicon4.4","Thu, Dec 18 · 6:30 PM EST","Health Wellbeing"
"Wellness Thursdays: Breath and Meditation Workshop","by I Meditate NY (Art of Living NYC)icon4.6","Thu, Dec 4 · 6:30 PM EST","Health Wellbeing"
"Full Moon Meditation — December","by I Meditate NY (Art of Living NYC)icon4.6","Fri, Dec 5 · 6:30 PM EST","Health Wellbeing"
"Winter Craft Candle Making Workshop","by Mindful Astoriaicon4.9","Thu, Dec 11 · 6:00 PM EST","Health Wellbeing"
"Death Cafe","by Mindful Astoriaicon4.9","Fri, Dec 5 · 7:00 PM EST","Health Wellbeing"
"Wellness Thursday: Yoga and Meditation Workshop","by I Meditate NY (Art of Living NYC)icon4.6","Thu, Dec 11 · 6:30 PM EST","Health Wellbeing"
"In-person Stoic Discussion + casual hangout","by New York City Stoicsicon4.8","Sat, Dec 20 · 4:00 PM EST","Health Wellbeing"
"Afternoon Silent Retreat, Sunday December 14, 1pm-5pm (In-person only)","by Mindful Astoriaicon4.9","Sun, Dec 14 · 1:00 PM EST","Health Wellbeing"
"Wellness Thursdays: Breath and Meditation Workshop","by I Meditate NY (Art of Living NYC)icon4.6","Thu, Dec 18 · 6:30 PM EST","Health Wellbeing"
"Kundalini Activation  / Online  /","by Community  Meetup Group","Every Fri • Dec 5 · 4:00 PM WEST","Health Wellbeing"
"Meditate With A Monk In Manhattan","by Meditate With A Monk - New Yorkicon4.9","Every Mon • Dec 8 · 6:30 PM EST","Health Wellbeing"
"The Friday Improv Jam (IN PERSON $10 Event)","by NYC Improv / Public Speaking Improvicon4.7","Every Fri • Dec 5 · 6:30 PM EST","Health Wellbeing"
"NYC Breathe and Reset","by ""Art of Living"" NYC - Making Life a Celebrationicon4.6","Sun, Dec 7 · 5:30 PM EST","Health Wellbeing"
