"event_name","group","date","category"
"KPop Demon Hunters - The Korean History and Culture Behind the Movie!","by KPop Demon Hunters - Film Discussion","Sat, Dec 6 · 7:00 PM EST","Hobbies Passions"
"NYC Crochet Guild ZOOM MEETING","by New York City Crochet Guildicon4.8","Thu, Dec 4 · 6:00 PM EST","Hobbies Passions"
"Start your weekend at New York Historical's library","by Silent Book Club NYCicon4.7","Fri, Dec 12 · 6:30 PM EST","Hobbies Passions"
"Clew & Coffee: Bookworms read at Melting Cups (Queens)","by Silent Book Club NYCicon4.7","Sat, Dec 6 · 10:00 AM EST","Hobbies Passions"
"[FILM MEETUP] Season 2 Finale (S2C20) Screening!","by Short Cutsicon4.9","Sat, Dec 6 · 1:00 PM EST","Hobbies Passions"
"Holiday Lights Photo Walk Through Midtown Manhattan","by NYC Photographersicon4.8","Fri, Dec 12 · 6:15 PM EST","Hobbies Passions"
"Hamnet by Maggie O'Farrell","by The Williamsburg Book Clubicon4.8","Wed, Dec 10 · 7:30 PM EST","Hobbies Passions"
"Narcissus and Goldmund by Hermann Hesse","by NYC Classics Book Clubicon4.8","Tue, Dec 9 · 6:00 PM EST","Hobbies Passions"
"MIDTOWN In-person Crafting and Happy Hour","by NYC Pints 'n' Purlsicon4.8","Wed, Dec 10 · 6:00 PM EST","Hobbies Passions"
"Uptown Reading Morning (Inwood)","by Silent Book Club NYCicon4.7","Sun, Dec 14 · 11:00 AM EST","Hobbies Passions"
"The Eyes are the Best Part - Monika Kim","by Thrills and Chills Book Clubicon5.0","Sat, Dec 6 · 2:00 PM EST","Hobbies Passions"
"A Wizard of Earthsea by Ursula Le Guin","by NYC Fantasy Book Clubicon4.8","Sun, Dec 14 · 11:00 AM EST","Hobbies Passions"
"Bonus Meeting: Hierarchy 2: Strength of the Few by James Islington","by NYC Fantasy Book Clubicon4.8","Sun, Dec 14 · 1:00 PM EST","Hobbies Passions"
"CALL FOR PHOTOGRAPHERS","by ""The New York City Digital Photography Meetup Group""icon4.5","Sun, Dec 14 · 4:00 PM EST","Hobbies Passions"
"The Promised Land (Bastarden) (2023) Discussion","by The Sad Losers Movie Clubicon4.9","Thu, Dec 4 · 6:00 PM EST","Hobbies Passions"
"Lattes & Long-Tail Cast-Ons: December West Side Knitting Collective Meetup","by The West Side Knitting Collective","Sun, Dec 7 · 11:00 AM EST","Hobbies Passions"
"Silent Night, Deadly Night (2025)","by The Horror Of It All...icon4.8","Fri, Dec 12 · 7:45 PM EST","Hobbies Passions"
"Queer Women Reading Whatever We Fancy: Nov/Dec book club/holiday party","by Queer Book Clubicon4.9","Wed, Dec 17 · 7:30 PM EST","Hobbies Passions"
"Queer Book Club - Christopher and His Kind","by Queer Book Clubicon4.9","Tue, Dec 9 · 7:00 PM EST","Hobbies Passions"
"Stoner by John Williams","by West Side Book Circleicon4.9","Tue, Dec 30 · 7:00 PM EST","Hobbies Passions"
"In-person Crafting and Happy Hour","by NYC Pints 'n' Purlsicon4.8","Monthly • Thu, Dec 11 · 5:30 PM EST","Hobbies Passions"
"The Shining 45th Anniversary","by The Horror Of It All...icon4.8","Sat, Dec 13 · 9:30 PM EST","Hobbies Passions"
"Hyperion by Dan Simmons","by Hugo and Nebula Award Winners Sci-fi Book Club Meetupicon4.8","Mon, Dec 8 · 7:00 PM EST","Hobbies Passions"
"Media & Entertainment Industry Networking Event at The Rose, Free Admission!","by New York Film & Fashion Professionalsicon4.6","Thu, Dec 11 · 6:00 PM EST","Hobbies Passions"
"WEDNESDAY In-person Crafting and Happy Hour","by NYC Pints 'n' Purlsicon4.8","Monthly • Wed, Dec 17 · 5:30 PM EST","Hobbies Passions"
"FREE: PHOTO 101: An Introduction To Lenses & Focal Length~ Transform Your Photos","by Philadelphia Photography Communityicon4.4","Thu, Dec 4 · 7:00 PM EST","Hobbies Passions"
"December 2025 Knit+Wine Night","by Knit+Wine Brooklynicon4.9","Sun, Dec 28 · 5:00 PM EST","Hobbies Passions"
"Stitch, please!","by NYC Contemporary Hand Embroidery & Sewing Meetupicon4.8","Tue, Dec 9 · 7:00 PM EST","Hobbies Passions"
"French film- The Count of Monte Cristo + free pizza","by 50s+ Foreign Film Fansicon4.5","Fri, Dec 5 · 5:30 PM EST","Hobbies Passions"
"Eric Rohmer's My Night at Maud's. At Metrograph, Dec 13 at 3pm.","by NYC Criterionne Film Clubicon4.8","Sat, Dec 13 · 3:00 PM EST","Hobbies Passions"
"Times Square","by New York Night Photographersicon4.7","Sat, Dec 6 · 6:00 PM EST","Hobbies Passions"
"Brooklyn Anime and Gaming Monthly Meetup","by Brooklyn Anime & Gaming Meetup Groupicon5.0","Monthly • Sun, Dec 21 · 7:00 PM EST","Hobbies Passions"
"Weekly Bible Study","by Free Events NYCicon4.5","Every Thu • Dec 4 · 7:00 PM EST","Hobbies Passions"
"In Person NYC Crochet Guild Meeting Holiday Party","by New York City Crochet Guildicon4.8","Sat, Dec 20 · 12:15 PM EST","Hobbies Passions"
"ONLINE Monroeville Zentanglers","by Zentanglers in Pittsburghicon4.8","Monthly • Wed, Dec 17 · 6:30 PM EST","Hobbies Passions"
"AWOL - After Work Origami Lovers","by OMG NYC (Origami Meetup Group! NYC)icon4.9","Every Thu • Dec 4 · 7:00 PM EST","Hobbies Passions"
"Speaker: Jennifer King – IMAGE DESIGN - Create More Dramatic Photos","by Silver Spring Camera Clubicon4.8","Thu, Dec 4 · 7:30 PM EST","Hobbies Passions"
"Stitch At the Library: Crochet & Knit Fun","by New York City Crochet Guildicon4.8","Tue, Dec 9 · 11:00 AM EST","Hobbies Passions"
"Come watch Jujutsu Kaisen: Execution","by NYC Anime Collectiveicon4.7","Sat, Dec 6 · 12:45 PM EST","Hobbies Passions"
"Books & Brews: ""The Long Way to a Small, Angry Planet""","by Astoria Books and Brewsicon4.8","Wed, Dec 17 · 6:30 PM EST","Hobbies Passions"
"Porgy and Bess at the Met","by 🎥 🎬 Black Cinema and Arts Club 🎥 🎬icon4.7","Sat, Dec 13 · 8:00 PM EST","Hobbies Passions"
"Mt. Lebanon Zentanglers ONLINE","by Zentanglers in Pittsburghicon4.8","Monthly • Thu, Dec 11 · 12:00 PM EST","Hobbies Passions"
"2025 book swap and dinner","by The Forest Hills Book Groupicon4.7","Wed, Dec 10 · 7:00 PM EST","Hobbies Passions"
"🎥 Brooklyn Anime & Gaming's Film Club – Movie Night! 🍿","by Brooklyn Anime & Gaming Meetup Groupicon5.0","Monthly • Sat, Dec 6 · 7:00 PM EST","Hobbies Passions"
"December Book Club","by Prosecco and Proseicon4.9","Sun, Dec 21 · 12:30 PM EST","Hobbies Passions"
"Writers Meetup & Critique @OUTRO NYC - Bring pages from your screenplay","by skillca.mp NYCicon4.6","Monthly • Sat, Dec 6 · 1:00 PM EST","Hobbies Passions"
"Snowflake Pattern Workshop","by Online Crochet Classes (Beginner to Advanced)icon4.7","Sat, Dec 6 · 2:00 PM EST","Hobbies Passions"
"WTF (Weekly Tuesday Folders)","by OMG NYC (Origami Meetup Group! NYC)icon4.9","Every Tue • Dec 9 · 6:30 PM EST","Hobbies Passions"
"Happy Birthday Jane!","by Jane Austen Meetup NYC- For Janeites and Newbies Alike!icon4.9","Tue, Dec 16 · 7:00 PM EST","Hobbies Passions"
"Italian film: One Hundred Steps (I cento passi) + Q&A","by 50s+ Foreign Film Fansicon4.5","Mon, Dec 8 · 6:40 PM EST","Hobbies Passions"
"Yarn Swap Fundraiser at Cleo’s!","by Manhattan Fiber Artistsicon4.8","Sat, Dec 6 · 5:00 PM EST","Hobbies Passions"
