"event_name","group","date","category"
"Let's practice Mandarin  (Chinese) and English","by New York English and Mandarin Language Exchangeicon4.8","Every two weeks on Thu • Dec 4 · 6:30 PM EST","Identity Language"
"English Conversation Club (Now Daily!)","by Waterloo Englishicon4.7","Every Wed, Thu • Dec 4 · 6:00 PM EST","Identity Language"
"Brooklyn Spanish Conversation","by Brooklyn Spanish Conversationicon4.9","Every two weeks on Thu • Dec 4 · 6:30 PM EST","Identity Language"
"Williamsburg French Fridays !","by Williamsburg French & Spanish Conversationsicon4.7","Every two weeks on Fri • Dec 5 · 7:00 PM EST","Identity Language"
"SpeakIt Language Exchange: Meet friends, practice, and share your language!","by SpeakIt NYCicon4.7","Thu, Dec 11 · 6:30 PM EST","Identity Language"
"December international gay Happy Hour","by International Gay Happy Houricon4.6","Thu, Dec 11 · 6:00 PM EST","Identity Language"
"Conversation française à Brooklyn","by Conversation française à Brooklyn (French Conversation)icon4.7","Every two weeks on Fri • Dec 5 · 6:30 PM EST","Identity Language"
"Weekly Japanese & English Conversation","by The New York Japanese Culture Groupicon4.6","Every Thu • Dec 4 · 6:30 PM EST","Identity Language"
"Language exchange Saturday!","by NYC Social Clubicon4.7","Every Sat • Dec 6 · 6:00 PM EST","Identity Language"
"Midtown Mandarin Exchange - Langan's NYC","by New York’s Largest Mandarin Communityicon4.8","Sun, Dec 7 · 6:00 PM EST","Identity Language"
"Langroops NYC 🗣Language Exchange - En/Es/Fr/中/日/עב/ру/De/한/ع/Por/It & more!","by Langroops NYC Language Exchangeicon4.7","Every Sat • Dec 6 · 4:00 PM EST","Identity Language"
"【🗽J-KURU NEW YORK🗽】Evening Japanese Conversation!!","by 【🇺🇸J-KURU USA🇺🇸】Enjoy Japanese Conversation!!icon4.6","Every Fri • Dec 5 · 7:00 PM EST","Identity Language"
"Langroops NYC BROOKLYN 🗣 Language Exchange (Sunday) Free!","by Langroops NYC Language Exchangeicon4.7","Every Sun • Dec 7 · 3:00 PM EST","Identity Language"
"BOLLYWOOD SATURDAYS (Ladies Free) @ The World Famous SOB's NYC","by Bollywood Events NYCicon4.3","Sat, Dec 6 · 11:00 PM EST","Identity Language"
"Language exchange Sunday!","by NYC Social Clubicon4.7","Every Sun • Dec 7 · 4:00 PM EST","Identity Language"
"English Practice (Advanced) *Now Daily*","by Let's Speak Englishicon4.5","Every Tue, Thu • Dec 4 · 6:00 PM EST","Identity Language"
"Aperitivo con Amici - CHELSEA -","by ITALIAN CHATicon4.6","Every two weeks on Wed • Dec 10 · 5:30 PM EST","Identity Language"
"🇫🇷 🍷🍫French Mondays {REDUX}","by ! French New York City !icon4.5","Every Mon • Dec 8 · 6:00 PM EST","Identity Language"
"English Practice (Now Daily!)","by Englishicon4.5","Every Tue, Thu, Fri • Dec 4 · 6:00 PM EST","Identity Language"
"Jersey City - German Language Group - December 4 2025","by New York City German Culture Groupicon4.7","Thu, Dec 4 · 6:30 PM EST","Identity Language"
"Drinks at Dive 75","by UWS Gayicon4.6","Wed, Dec 10 · 6:00 PM EST","Identity Language"
"Williamsburg Spanish Fridays !","by Williamsburg French & Spanish Conversationsicon4.7","Every two weeks on Fri • Dec 12 · 7:00 PM EST","Identity Language"
"New York Portuguese-Learners Social - December 2025","by New York Portuguese-Learners Network","Tue, Dec 9 · 6:30 PM EST","Identity Language"
"📚 Chelsy's Reading Club","by Asian Support Networkicon4.9","Sat, Dec 6 · 3:00 PM EST","Identity Language"
"Deutscher Stammtisch Astoria","by Stammtisch German Roundtableicon4.8","Mon, Dec 8 · 7:00 PM EST","Identity Language"
"The Twelth Meetup: 🎄 HOLIDAY","by The Quiet Gaysicon4.7","Fri, Dec 19 · 6:00 PM EST","Identity Language"
"Holiday Party at Industry Bar!","by Gay Men's Hiking Groupicon4.9","Sat, Dec 13 · 6:30 PM EST","Identity Language"
"Festa di Natale 2025!","by Northern NJ Italian and English Language Exchangeicon4.8","Tue, Dec 9 · 7:00 PM EST","Identity Language"
"Friday Night Japanese & English Social","by The New York Japanese Culture Groupicon4.6","Every Fri • Dec 5 · 7:00 PM EST","Identity Language"
"INTERMEDIATE B1.5","by Drop-in French lessons onlineicon4.8","Every Thu • Dec 4 · 6:00 PM EST","Identity Language"
"Let's practice Mandarin  (Chinese) and English","by New York English and Mandarin Language Exchangeicon4.8","Every two weeks on Thu • Dec 11 · 6:30 PM EST","Identity Language"
"December Portuguese meetup/ Encontro de português","by Brooklyn Portuguese Conversation Groupicon4.6","Sat, Dec 13 · 2:30 PM EST","Identity Language"
"East Coast 30s & 40s Lesbian/Bi/Trans/Queer Online Speed Dating","by DC & Nationwide Lesbian/Bi/Trans Dating Eventsicon4.2","Thu, Dec 4 · 6:00 PM EST","Identity Language"
"English-Korean Language Exchange 영한 언어교환이다!","by Learn and Practice English and Korean NYC - 영어와 한국어 배우고 연습하자icon4.9","Every two weeks on Wed • Dec 10 · 7:00 PM EST","Identity Language"
"Mejor dimelo en Español","by 🗽🪇Spanish NYC Meetup: Nuevos amigos y amigas en Nueva Yorkicon4.7","Sat, Dec 6 · 10:30 AM EST","Identity Language"
"Language Exchange in NYC!","by NYC Spanish/English Intercambioicon4.7","Every Sat • Dec 6 · 6:00 PM EST","Identity Language"
"Mercredi Français","by ! French New York City !icon4.5","Wed, Dec 10 · 2:00 PM EST","Identity Language"
"Language Exchange in NYC!","by NYC Spanish/English Intercambioicon4.7","Every Sun • Dec 7 · 4:00 PM EST","Identity Language"
"Kaiwa Club NY: Japanese-English Language Exchange","by Kaiwa Club NYicon4.7","Every Fri • Dec 5 · 7:15 PM EST","Identity Language"
"Поэтический спектакль""Женщина В Белом"". Театральный фестиваль ""Новая волна"".","by Russian Culture in New Yorkicon4.8","Sat, Dec 13 · 7:00 PM EST","Identity Language"
"Spanish Language Exchange in Downtown Brooklyn","by Brooklyn Spanish Clubicon4.9","Every Sun • Dec 7 · 11:30 AM EST","Identity Language"
"Free English Classes - Manhattan in-person","by Free English Classes in New Yorkicon4.6","Every Mon, Tue, Wed, Thu, Fri • Dec 4 · 6:30 PM EST","Identity Language"
"Easy Japanese Reading","by Boston Japanese & English Language Clubicon4.7","Every Thu • Dec 4 · 5:00 PM EST","Identity Language"
"SOCIAL: Improve Your English & Make New Friends! (3:00 PM)","by English Language Practice in New Yorkicon4.7","Every Sat • Dec 6 · 3:00 PM EST","Identity Language"
"Good Evening English Club (Practice daily!)","by Montréal Englishicon4.6","Every Mon, Thu • Dec 4 · 9:00 PM EST","Identity Language"
"Speak, Sip and Practice English!","by SpeakEasy NYCicon5.0","Every two weeks on Thu • Dec 4 · 7:00 PM EST","Identity Language"
"English Conversation for Intermediate Learners","by Language Classes in Midtown Manhattanicon4.5","Every Thu • Dec 4 · 6:00 PM EST","Identity Language"
"Aperitivo con Amici - HARLEM","by ITALIAN CHATicon4.6","Every two weeks on Tue • Dec 16 · 6:00 PM EST","Identity Language"
"English Conversation for Advanced Learners","by Language Classes in Midtown Manhattanicon4.5","Every Thu • Dec 4 · 7:30 PM EST","Identity Language"
"FREE Spanish Stand Up Show | Comedia en Español en Times Square","by Stand Up en Españolicon5.0","Sun, Dec 7 · 4:30 PM EST","Identity Language"
"English Practice Meetup + AI Corrections!","by Toronto Englishicon4.6","Every Mon, Wed • Dec 8 · 3:00 PM EST","Identity Language"
"FREE LGBTQ FILM SERIES AT ST BART’S","by GAY MEN OVER 50 SOCIAL GROUPicon4.7","Fri, Dec 5 · 6:00 PM EST","Identity Language"
"FREE Spanish Stand Up Show | Comedia en Español en Times Square","by Stand Up en Españolicon5.0","Sun, Dec 14 · 4:30 PM EST","Identity Language"
"Mercredi Français","by ! French New York City !icon4.5","Wed, Dec 17 · 2:00 PM EST","Identity Language"
"BOLLYWOOD SATURDAYS (Ladies Free) @ The World Famous SOB's NYC","by Bollywood Events NYCicon4.3","Sat, Dec 27 · 11:00 PM EST","Identity Language"
"Conversation zoom","by Bucks County French Meetupicon4.9","Thu, Dec 4 · 7:00 PM EST","Identity Language"
"BOLLYWOOD SATURDAYS (Ladies Free) @ The World Famous SOB's NYC","by Bollywood Events NYCicon4.3","Sat, Dec 13 · 11:00 PM EST","Identity Language"
"Petit Déjeuner et Français Mercredi","by Petit Déjeuner et Français Mercrediicon5.0","Every Wed • Dec 10 · 10:30 AM EST","Identity Language"
"Sapphic Sips: KTBCoffee (Hasbrouck heights!)","by Sapphic Sipsicon4.7","Sun, Dec 14 · 2:00 PM EST","Identity Language"
"✨French Conversation & Active Recall Practice ✨Hosted by Cindy (Atlanta) ✨","by The French Club (Montreal)icon5.0","Every Wed • Dec 10 · 7:00 PM EST","Identity Language"
"Première rencontre — French Speakers & Francophiles (Union City & NY)","by Francophones & francophiles - Union City & NYC","Sat, Dec 6 · 12:00 PM EST","Identity Language"
"English Speaking Practice (Now Daily!)","by Ottawa Englishicon4.5","Every Mon, Thu • Dec 4 · 9:00 PM EST","Identity Language"
"Perfect Your French and Explore the Work of one of the Leading 18th c. Artists!","by ! French New York City !icon4.5","Sat, Dec 13 · 1:00 PM EST","Identity Language"
"Board Games Social @ Brookfield Place 🎲","by NYC Asian Meetupicon4.8","Sun, Dec 7 · 1:00 PM EST","Identity Language"
"Queer Gallery Walk~ Saturday Art Adventure!","by Queer Social: Curated Events For LGBTQ Peopleicon4.7","Sat, Dec 13 · 1:00 PM EST","Identity Language"
"Tanchaz","by NYC Tanchaz (Hungarian Folk Dance & Music)icon4.8","Sat, Dec 6 · 7:00 PM EST","Identity Language"
"Deutscher Stammtisch Astoria","by Stammtisch German Roundtableicon4.8","Mon, Dec 22 · 7:00 PM EST","Identity Language"
"English Speaking club(new members welcome!)","by 🌎1:1 English Conversation Club - Toronto🌎🆓 (FREE, Online)icon4.7","Every Thu • Dec 4 · 8:30 PM EST","Identity Language"
"FREE Spanish Stand Up Show | Comedia en Español en Times Square","by Stand Up en Españolicon5.0","Sun, Dec 21 · 4:30 PM EST","Identity Language"
"Sapphic Sips: Honey Day Cafe","by Sapphic Sipsicon4.7","Sat, Dec 6 · 1:00 PM EST","Identity Language"
"FREE Spanish Stand Up Show | Comedia en Español en Times Square","by Stand Up en Españolicon5.0","Sun, Dec 28 · 4:30 PM EST","Identity Language"
"Eve of Eve NYC - Eve of New Year's Eve Afrobeats Masquerade Ball","by AfropolitanNYCicon4.1","Tue, Dec 30 · 10:00 PM EST","Identity Language"
"Queer Salsa Classes for Intermediate dancers on Sundays","by Queer Partner Dance NYCicon5.0","Every Sun • Dec 7 · 4:15 PM EST","Identity Language"
"Queer Salsa Classes for Advanced Beginners on Sundays","by Queer Partner Dance NYCicon5.0","Every Sun • Dec 7 · 5:30 PM EST","Identity Language"
"Latin language conversation club!","by NYC Latin Language Circle - Circulus Latīnus Noveborācēnsisicon5.0","Every two weeks on Fri • Dec 12 · 6:00 PM EST","Identity Language"
"Queer Salsa Classes for Beginners on Sundays","by Queer Partner Dance NYCicon5.0","Every Sun • Dec 7 · 6:45 PM EST","Identity Language"
"Kunst und Cocktails","by Gay Stammtisch NYC: German Conversation Groupicon4.9","Sun, Dec 7 · 4:00 PM EST","Identity Language"
"Holiday Time at Other Half Brewing Company","by Boomer Lesbians in Park Slope Women Meetup Groupicon4.8","Sun, Dec 14 · 3:00 PM EST","Identity Language"
"Moderate Hike @ Zoar Trail","by NYC Asian Meetupicon4.8","Sun, Dec 14 · 9:00 AM EST","Identity Language"
"""Le pouvoir de l’alimentation consciente"" : 12 conférences par Angie Aguilar","by The French Club (Toronto)icon4.9","Every Thu • Dec 4 · 7:00 PM EST","Identity Language"
"Jueves de español","by Spanish Conversation on Thursdaysicon4.8","Every Thu • Dec 11 · 2:00 PM EST","Identity Language"
"Pride Salsa Social December Edition + Beginner Salsa Class","by Queer Partner Dance NYCicon5.0","Sat, Dec 13 · 6:00 PM EST","Identity Language"
"Dungeons and Dragons: LGBT Adventurers' Guild (18+)","by LGBT Network - Queens LGBT Center Eventsicon4.7","Thu, Dec 18 · 7:00 PM EST","Identity Language"
"Online Language Exchange","by Language Classes in Midtown Manhattanicon4.5","Every Tue • Dec 9 · 6:30 PM EST","Identity Language"
"Monday Social: Holiday Party (18+)","by LGBT Network - Queens LGBT Center Eventsicon4.7","Mon, Dec 8 · 6:30 PM EST","Identity Language"
"Casual Magic - Free For All","by Gay Planeswalkersicon4.9","Every Sun • Dec 7 · 2:30 PM EST","Identity Language"
"Twin Mtn, Indian Head Mtn Catskills","by Brodyaga / Russian adventure groupicon4.9","Sun, Dec 7 · 8:45 AM EST","Identity Language"
"Mandarin Meetup in Willamsburg","by Practice speaking Mandarin in Brooklyn","Tue, Dec 9 · 6:30 PM EST","Identity Language"
"Come practice French conversation after work this Friday !","by Gay French language practice groupicon5.0","Fri, Dec 5 · 6:45 PM EST","Identity Language"
"SEXI Saturday (Safety, Education, Xpression, Identity)","by LGBT Network - Queens LGBT Center Eventsicon4.7","Sat, Dec 13 · 2:00 PM EST","Identity Language"
"CHEZ FRANCOIS FRENCH CONVERSATION CLASS $10","by Chez François French Lessons-Native French Teacher classesicon4.9","Every Thu • Dec 4 · 6:30 PM EST","Identity Language"
