"event_name","group","date","category"
"Deficits, Debt, and Drinks","by NYC Deficit Owls (Modern Monetary Theory/MMT)icon4.6","Monthly • Tue, Dec 16 · 7:00 PM EST","Movements Politics"
"#StopTheLiesFox National Call","by ResistTrump Campaignicon4.5","Every Wed • Dec 10 · 2:00 PM CST","Movements Politics"
"Stop Super Speeders Hackathon","by #BetaNYC, NYC's open data, open gov, & civic tech communityicon4.8","Sat, Dec 6 · 10:00 AM EST","Movements Politics"
"NYC Forward Party Happy Hour","by NYC Forward Party","Monthly • Tue, Dec 9 · 7:00 PM EST","Movements Politics"
"LPQC Annual Xmas/Holiday Luncheon at Stamatis 12/13","by Queens Libertarians (Founded October 6, 1994)icon5.0","Sat, Dec 13 · 12:00 PM EST","Movements Politics"
"Brooklyn Libertarian Party Monthly Meeting","by The Brooklyn Libertarian Party Meetup Groupicon4.7","Monthly • Tue, Dec 16 · 6:30 PM EST","Movements Politics"
"The Organizers' Table","by ResistTrump Campaignicon4.5","Every Mon • Dec 8 · 2:00 PM CST","Movements Politics"
"#BoycottMAGA Campaign National Organizing Call","by ResistTrump Campaignicon4.5","Every Fri • Dec 5 · 11:00 AM CST","Movements Politics"
"In The News VIRTUAL: Casual Discussions Across the Aisle","by The Bridge: Liberal and Conservative Common Groundsicon4.7","Monthly • Fri, Dec 19 · 7:00 PM CST","Movements Politics"
"ONLINE Political & Economic Discussion","by ONLINE Political & Economic Discussionicon4.5","Monthly • Tue, Dec 16 · 8:00 PM CST","Movements Politics"
"Resistance School","by ResistTrump Campaignicon4.5","Every Sun • Dec 7 · 5:00 PM CST","Movements Politics"
"Lobbying:  Who Speaks  for the People?","by Crossing Party Lines: Columbus, OHicon4.7","Sun, Dec 7 · 8:00 PM EST","Movements Politics"
"Open Discussion [Online Event]","by Racism Discussion Groupicon4.8","Wed, Dec 17 · 7:00 PM EST","Movements Politics"
"Get Stuff Done","by Neurodivergent Liberation Communityicon4.8","Every Sun • Dec 7 · 12:00 PM EST","Movements Politics"
"Movement Studies","by Neurodivergent Liberation Communityicon4.8","Every two weeks on Wed • Dec 10 · 7:30 PM EST","Movements Politics"
"Does the Job Description for Politicians Need a Rewrite?","by Crossing Party Lines: Chicagolandicon4.5","Sun, Dec 14 · 7:00 PM CST","Movements Politics"
"Get Stuff Done","by Neurodivergent Liberation Communityicon4.8","Every Sun • Dec 14 · 12:00 PM EST","Movements Politics"
"OPEN ZOOM CITY-WIDE!","by Philly's Republican Network","Monthly • Wed, Dec 10 · 7:00 PM EST","Movements Politics"
"Empathy vs Compassion: When Caring Enters Politics","by Crossing Party Lines: Chicagolandicon4.5","Sun, Dec 21 · 7:00 PM CST","Movements Politics"
"Feminist Question Time LIVE w/ speakers from around the world! Every Saturday AM","by Radical Feminist Activistsicon4.6","Every Sat • Dec 6 · 10:00 AM EST","Movements Politics"
"LPNOVA December Board Meeting","by The Libertarian Party of Northern Virginia - LPNOVAicon4.8","Tue, Dec 16 · 7:30 PM EST","Movements Politics"
"Platform Committee 2026 Meeting","by Greater Charlotte Libertariansicon4.8","Sun, Dec 7 · 3:00 PM EST","Movements Politics"
"NOVA FWD Monthly","by Forward Party in Virginia (FWDVA)","Wed, Dec 17 · 8:00 PM EST","Movements Politics"
"SocialTV NYC December Meetup w/ The Cueniverse","by SocialTV NYCicon4.9","Fri, Dec 12 · 8:30 AM EST","Movements Politics"
"East Cobb Democrats Kickoff Meeting — Get Connected for 2026","by East Cobb Democratsicon3.9","Tue, Dec 16 · 7:00 PM EST","Movements Politics"
"Bi-Monthly Meeting of FFRF-East TN","by Freedom From Religion Foundation - East TN","Monthly • Wed, Dec 17 · 6:00 PM EST","Movements Politics"
"Movement Studies","by Neurodivergent Liberation Communityicon4.8","Every two weeks on Wed • Dec 24 · 7:30 PM EST","Movements Politics"
"Last Fortnight Tonight - Biweekly News Discussion","by Scalawag Newsstand of Brooklynicon4.9","Every two weeks on Mon • Dec 8 · 7:00 PM EST","Movements Politics"
"LP Brevard EC Meeting (online)","by Libertarian Party of Brevard County","Monthly • Tue, Dec 9 · 7:30 PM EST","Movements Politics"
"NEW ONLINE ASTROLOGY CLASS STARTS MON., AUG. 11TH! REGISTER NOW 405.422.2201!","by The Hairy Eyeball: See and WE Shall Find!","Every Mon • Dec 8 · 6:00 PM CST","Movements Politics"
"Blount County Democratic Party Executive Committee Meeting","by Blount County Democratic Party Meetupicon3.8","Monthly • Thu, Dec 11 · 6:30 PM EST","Movements Politics"
"Rooster Call - Initiative Assembly","by Boulder Apparatus for Worker's Liberation BAWL","Every two weeks on Fri • Dec 12 · 7:00 PM MST","Movements Politics"
