"event_name","group","date","category"
"Zoom On-line Guitar Jam","by South Portland Acoustic Guitar Meetupicon4.9","Every Thu • Dec 4 · 6:30 PM EST","Music"
"Saturday Piano Meetup","by Greater NYC Piano Playersicon5.0","Sat, Dec 20 · 4:00 PM EST","Music"
"Monday Piano Meetup","by Greater NYC Piano Playersicon5.0","Mon, Dec 8 · 6:00 PM EST","Music"
"Track Feedback Session at 343 Labs","by 343 Labs Music Producer Communityicon4.9","Wed, Dec 10 · 6:30 PM EST","Music"
"Central Park West ""Posh"" Jam","by Bluegrass Jams in and around NYCicon4.8","Sun, Dec 7 · 2:00 PM EST","Music"
"🎄Holiday Piano Meetup🎄","by Greater NYC Piano Playersicon5.0","Sat, Dec 27 · 4:00 PM EST","Music"
"Holiday Jam & 9th Anniversary Party! 🎉 🎊🥂(BYOB & Potluck)","by NYC Jazz Musicians Hangicon4.9","Sat, Dec 13 · 4:00 PM EST","Music"
"December Concert","by ACMA (The Association of Classical Musicians and Artists)icon4.8","Sun, Dec 14 · 4:00 PM EST","Music"
"Big Apple Chorus / Sirens of Gotham Holiday Concert","by Big Apple Chorusicon5.0","Every Mon • Dec 8 · 8:00 PM EST","Music"
"Holiday Hangout, December Edition","by The Brooklyn Experimental Electronic Music Groupicon4.9","Thu, Dec 18 · 7:00 PM EST","Music"
"Christian Singers Vocal Techniques","by ReadyToSing Online Singing & Songwriting Classesicon4.7","Every Thu • Dec 4 · 7:00 PM EST","Music"
"Riverside Community Room Jam - must RSVP","by Bluegrass Jams in and around NYCicon4.8","Sun, Dec 14 · 2:00 PM EST","Music"
"Lab Night - Musician's Collective","by Musician's Collective Music Labicon5.0","Thu, Dec 4 · 6:30 PM EST","Music"
"THE TRENCHANT SONGWRITER SHOWCASE WITH Maiden!","by NYC Local Music Scene Fan Meet Upicon4.5","Thu, Dec 11 · 7:00 PM EST","Music"
"One Day Song Lab - Learn, Jam, Connect! (Feat. ""Signed, Sealed, Delivered"")","by NYC Guitar School Meetup of Awesome Guitaricon4.8","Fri, Dec 5 · 5:30 PM EST","Music"
"Brooklyn Beatmakers","by Brooklyn Beatmakersicon4.8","Every two weeks on Tue • Dec 16 · 6:00 PM EST","Music"
"December Holiday Jam","by Workingman's Dead Jamicon4.7","Sun, Dec 21 · 1:00 PM EST","Music"
"Live Electronic Showcase @ FirstLive","by 343 Labs Music Producer Communityicon4.9","Thu, Dec 11 · 7:00 PM EST","Music"
"Lab Night - Musician's Collective","by Musician's Collective Music Labicon5.0","Thu, Dec 18 · 6:30 PM EST","Music"
"Happy Hour at Vinateria (2211 Frederick Douglass Boulevard)","by Morningside & Manhattanville Meets - Dinner & Social Clubicon4.8","Tue, Dec 23 · 5:30 PM EST","Music"
"Group Singing By Ear","by Group Singing in Brooklynicon4.8","Every Sat • Dec 6 · 6:00 PM EST","Music"
"Meet My Music: Virtual Studio Hang","by New to Nashville Music Industry Networkingicon4.6","Mon, Dec 8 · 5:00 PM CST","Music"
"DECEMBER chamber Music meet -up","by Let's Read Classical Chamber Music!icon5.0","Sun, Dec 28 · 3:00 PM EST","Music"
"12/19 NYC X LA WINTER EDITION WITH REID SPEED, AIRGLO","by The New York City Drum & Bass Meetup Groupicon4.8","Fri, Dec 19 · 10:00 PM EST","Music"
"Live Electronic Showcase @ Wonderville","by 343 Labs Music Producer Communityicon4.9","Sun, Dec 7 · 7:00 PM EST","Music"
"Lab Night - Musician's Collective","by Musician's Collective Music Labicon5.0","Thu, Dec 11 · 6:30 PM EST","Music"
"Music Listening Hour With Mike Holland","by Music Listening Houricon4.9","Every Sun • Dec 7 · 8:00 PM EST","Music"
"LE CHÉILE fast jam","by Bluegrass Jams in and around NYCicon4.8","Tue, Dec 9 · 6:30 PM EST","Music"
"Get Together For The Joy Of Music","by Bergen County Acoustic Musiciansicon4.8","Sat, Dec 6 · 7:00 PM EST","Music"
