"event_name","group","date","category"
"The New Art Of Living","by Financial literacy","Thu, Dec 4 · 5:30 PM EST","New Group"
"Tech Interview Workshop: Mock Interviews for Devs, PMs and other techies","by The Tech Lead NYC","Every Thu • Dec 4 · 6:00 PM EST","New Group"
"Speed Dating in Manhattan - Age: 21-38 - Main Event","by Singles - Manhattan","Sat, Dec 6 · 6:00 PM EST","New Group"
"Society of Women Fiction Writers - Holiday Meet Up [In Person]","by Society of Women Fiction Writersicon5.0","Fri, Dec 12 · 7:00 PM EST","New Group"
"Lunch & Learn: Building Trust in AI-Generated Terraform Fixes","by Gomboc | Dine & Discover","Wed, Dec 10 · 12:00 PM EST","New Group"
"Lattes & Long-Tail Cast-Ons: December West Side Knitting Collective Meetup","by The West Side Knitting Collective","Sun, Dec 7 · 11:00 AM EST","New Group"
"Tech Interview Workshop: Mock Interviews for Devs, PMs and other techies","by The Tech Lead NYC","Every Thu • Dec 11 · 6:00 PM EST","New Group"
"Neighborhood Reading Series; A CHRISTMAS CAROL","by Theatre East","Wed, Dec 10 · 6:30 PM EST","New Group"
"Central Park Chess Social","by New York Professionals Meetup Group","Every two weeks on Sat • Dec 13 · 2:00 PM EST","New Group"
"Tech Interview Workshop: Mock Interviews for Devs, PMs and other techies","by The Tech Lead NYC","Every Thu • Dec 18 · 6:00 PM EST","New Group"
"Kundalini Activation  / Online  /","by Community  Meetup Group","Every Fri • Dec 5 · 4:00 PM WEST","New Group"
"Manhattan Bi weekly Social Anxiety Group @ Brookfield Place","by Manhattan Bi weekly Social Anxiety Group","Every two weeks on Sun • Dec 7 · 4:00 PM EST","New Group"
"JUST A BAR, ONLY SINGLE/ NEW YORK","by Community  Meetup Group","Every Sat • Dec 6 · 7:00 PM WEST","New Group"
"From Market to Martini: A Holiday Hangout!","by Plant-Based Gen X Women’s Socialicon4.8","Sat, Dec 13 · 1:00 PM EST","New Group"
"Free Turkish Coffee • Evil Eye Bracelets • Vinyl Listening Sessions","by Free Turkish Coffee & Evil Eye Bracelets (Turkish Tuesdays)","Every Tue • Dec 9 · 4:00 PM EST","New Group"
"Sip, Spin & Socialize","by Allure Pole & Fitness","Sat, Dec 6 · 12:00 PM EST","New Group"
"Bi-Weekly Meet 'n Greet","by The Social Collective","Every two weeks on Thu • Dec 4 · 6:00 PM EST","New Group"
"Eastside Toastmasters Meeting","by East side Toastmasters","Every Fri • Dec 5 · 7:15 PM EST","New Group"
"Première rencontre — French Speakers & Francophiles (Union City & NY)","by Francophones & francophiles - Union City & NYC","Sat, Dec 6 · 12:00 PM EST","New Group"
"Kundalini Activation / IN PERSON/ SMALL GROUP/ Every Saturday","by Community  Meetup Group","Every Sat • Dec 6 · 2:00 PM WEST","New Group"
"How to Get a Second Date","by The Real-Life Dating Club – NYC Singles ALL AGES","Sun, Dec 14 · 1:30 PM EST","New Group"
"Let's have our FIRST dinner at Tsurutontan MIDTOWN on Fri Dec 12 at 6:30pm","by NYC Dining Out & Socializing (35-55) Meetup Group","Fri, Dec 12 · 6:30 PM EST","New Group"
"DATE CHANGE -Volunteer Event - Hope for New York - Assist at Annual Holiday Toy","by Women-NYC & Suburbs Chapter-Finding Female Friends 50>icon5.0","Sat, Dec 13 · 1:00 PM EST","New Group"
"FREE Mommy and Me Postpartum Movement Class","by New Parents of Brooklyn – Community & Support","Sun, Dec 7 · 11:00 AM EST","New Group"
"Movie Night for Mountains on Stage - Quad Cinema","by American Alpine Club - New York","Tue, Dec 9 · 7:00 PM EST","New Group"
"Second Sunday Socials","by Theatre East","Sun, Dec 14 · 5:00 PM EST","New Group"
