"event_name","group","date","category"
"FREE Mommy and Me Postpartum Movement Class","by New Parents of Brooklyn – Community & Support","Sun, Dec 7 · 11:00 AM EST","Parents Family"
"Grow With The Gardening Grandma Show by Patrice Porter","by Amazing Parents' Networkicon3.9","Every Thu • Dec 4 · 6:00 PM EST","Parents Family"
"Internship & Shadowing Opportunities for HS & College Students","by HELPipedia: It Takes a Communityicon4.6","Every two weeks on Sat • Dec 4 · 7:00 PM EST","Parents Family"
"New Parents Get Together!","by New York New Parents Meetup Groupicon4.1","Every Thu • Dec 4 · 6:30 PM EST","Parents Family"
"Expectations in Motherhood: Holiday Edition","by Asheville Community Mom's Groupicon4.7","Mon, Dec 8 · 4:00 PM EST","Parents Family"
"Preparing for Divorce in 2026 – Vesta's Boston, MA Hub","by HOPE for Single Parents - Boston and Metrowesticon4.7","Thu, Dec 11 · 6:00 PM EST","Parents Family"
"Dance Freedom/Friday Zoom Freestyle Dance DJ David Hero","by Dance Freedom / Dance Friday  www.dancefreedom.comicon4.8","Wed, Dec 17 · 8:30 PM EST","Parents Family"
"MOMmoments Single Moms Virtual Meetup","by Mpowerd Single Moms Meetupicon4.8","Tue, Dec 9 · 7:30 PM EST","Parents Family"
"Inside The Adoption Paradox: Featuring Author, Jean Kelly Widner","by Metro Detroit Adoptee Meet Upicon4.9","Sun, Dec 7 · 3:00 PM EST","Parents Family"
"Alimony & Child Support in Massachusetts – Vesta's Lexington/ Winchester, MA Hub","by HOPE for Single Parents - Boston and Metrowesticon4.7","Wed, Dec 17 · 6:30 PM EST","Parents Family"
"7 Key Strategies When Divorcing a Narcissist – Vesta's Southern MA/RI Hub","by HOPE for Single Parents - Boston and Metrowesticon4.7","Wed, Dec 17 · 3:30 PM EST","Parents Family"
"Divorce Grief: How to Heal and Move Forward – Vesta Chicago, IL Hub","by Vesta: A New Vision for Divorce - Illinois","Tue, Dec 16 · 6:30 PM CST","Parents Family"
"Boosting Parenting Confidence Workshop (FREE GROUP MEETS WEEKLY)","by Parenting and Co-Parenting Supports Meetup Group","Every Wed • Dec 10 · 6:00 PM EST","Parents Family"
"Jumpstart Your 2026 Divorce with Strategy— Vesta's New York, New Jersey","by Vesta: A New Vision for Divorce ~ New York & New Jerseyicon4.6","Wed, Dec 10 · 8:00 PM EST","Parents Family"
"Mamas Nurturing Together","by Birth Village - Pregnancy and Postpartum Support Group","Every two weeks on Wed • Dec 10 · 7:00 PM EST","Parents Family"
"Virtual Introduction for South Asian Dads in the NY/NJ Metro Area","by South Asian Dads of NY/NJ Metro","Thu, Dec 4 · 8:00 PM EST","Parents Family"
"MomLife Unplugged- A casual meetup for sharing and connecting","by Unconventional Mom Allianceicon3.9","Monthly • Sun, Dec 28 · 2:00 PM EST","Parents Family"
"First Friday Adoptee Peer Support Group","by Adoption Knowledge Affiliates Educational & Peer Supporticon4.6","Monthly • Fri, Dec 5 · 1:30 PM CST","Parents Family"
"Kabbalat Shabbat (online)","by Havurat Shalom Meetupicon4.5","Every Fri • Dec 5 · 6:30 PM EST","Parents Family"
"Not-Just-for Children's Shabbat Service","by Havurat Shalom Meetupicon4.5","Every Fri • Dec 5 · 6:00 PM EST","Parents Family"
"Special Needs Directory Working Session at HELPipedia","by HELPipedia: It Takes a Communityicon4.6","Every Thu • Dec 5 · 10:30 AM EST","Parents Family"
"The Mamaya Health New Mom Circle","by The Mamaya Health New Mom Circleicon5.0","Every Tue • Dec 9 · 10:00 AM CST","Parents Family"
"The Gifts of Christmas","by Living on Purpose-Spiritualicon4.9","Sat, Dec 6 · 12:00 PM EST","Parents Family"
"Kabbalat Shabbat (online)","by Havurat Shalom Meetupicon4.5","Every Fri • Dec 12 · 6:30 PM EST","Parents Family"
"Toronto Fathers Divorce Q&A Meetup","by Toronto Fathers Divorce Meetup - We Help Dads During Divorceicon4.7","Tue, Dec 9 · 7:00 PM EST","Parents Family"
"New Moms of Brooklyn - Support Group","by New Parents of Brooklyn – Community & Support","Fri, Dec 12 · 2:00 PM EST","Parents Family"
"Leadership Class: Godly Leadership School @ LI","by The Godly Leadership School at The Leaders Institute","Every Sun • Dec 7 · 10:30 AM EST","Parents Family"
"UX Lunch Club","by UX Champaign-Urbana (CU)icon4.8","Monthly • Thu, Dec 18 · 1:00 PM CST","Parents Family"
"Preparing for Divorce in 2026 – Vesta's New Hampshire Hub","by Vesta: A New Vision for Divorce - New Hampshire Hub","Mon, Dec 15 · 5:00 PM EST","Parents Family"
"Emotional Well-being, Active Learning, Nature, and Play for Young Children","by Stellaris International School - Nashville Meetup Group","Fri, Dec 12 · 12:00 PM CST","Parents Family"
"White parents: mixed race kids","by White Parents of Mixed Race Kids","Monthly • Mon, Dec 22 · 7:00 PM MST","Parents Family"
