"event_name","group","date","category"
"Central Park Fall Bird Walk","by BirdingAroundNYCicon4.9","Every Sat • Dec 6 · 1:30 PM EST","Pets Animals"
"Central Park - New Year’s Day Bird Walk!","by BirdingAroundNYCicon4.9","Thu, Jan 1, 2026 · 1:00 PM EST","Pets Animals"
"Zoom Vegan Support Group","by Florida Voices for Animalsicon4.8","Thu, Dec 4 · 6:30 PM EST","Pets Animals"
"Boris & Horton's HOWLiday Lounge","by Cavalier King Charles Spaniel Meetupicon4.7","Thu, Dec 4 · 6:00 PM EST","Pets Animals"
"Sip and Paint a Pet Portrait Fun- Barking Dog New York","by Paint Your Pet and Mingle with Pet Loversicon4.9","Every Thu, Fri • Dec 4 · 5:30 PM EST","Pets Animals"
"Photos with Santa ""Paws"" @ Boris & Horton!","by Cavalier King Charles Spaniel Meetupicon4.7","Sat, Dec 6 · 1:00 PM EST","Pets Animals"
"Sip and Paint a Pet Portrait Fun- Barking Dog New York","by Paint Your Pet and Mingle with Pet Loversicon4.9","Every Thu, Fri • Dec 5 · 5:30 PM EST","Pets Animals"
"Sip and Paint Pet Portrait Fun...Dogs Welcome- DBA Eastvillage","by Paint Your Pet and Mingle with Pet Loversicon4.9","Every Sun • Dec 7 · 1:30 PM EST","Pets Animals"
"Sip and Paint Pet Portrait Fun...Dogs Welcome- DBA Eastvillage","by Paint Your Pet and Mingle with Pet Loversicon4.9","Every two weeks on Sun • Dec 14 · 1:30 PM EST","Pets Animals"
"(Evening) ONLINE FREE Pet Grief Support Group with Jeff Brockman","by Pet Grief Support Groupicon4.8","Tue, Dec 16 · 7:00 PM EST","Pets Animals"
"CONNECTING COMPANIONS THROUGH COMMUNICATION AND ENERGY HEALING","by Animal Communication - Connecting Companions!icon4.4","Every two weeks on Wed • Dec 10 · 7:00 PM EST","Pets Animals"
