"event_name","group","date","category"
"The Kings Speech Toastmasters","by Toastmasters Clubs of Greater Cincinnatiicon4.8","Monthly • Thu, Dec 4 · 5:45 PM EST","Science Education"
"The Gilded Age Revisted! Upper East Side History, Architecture and Art Tour.","by Exploring NYC History and Neighborhoodsicon4.9","Sat, Dec 6 · 11:30 AM EST","Science Education"
"Beyond binding: designing molecules for biological function","by New York Area Group for Informatics and Modeling (NYAGIM)icon4.9","Wed, Dec 10 · 6:00 PM EST","Science Education"
"The Fall by Albert Camus","by NYC Philosophy and Psychology Readers Community Φ Ψicon4.8","Sat, Dec 6 · 10:00 AM EST","Science Education"
"PRACTICE PUBLIC SPEAKING - Hybrid Meeting","by Graybar Toastmasters - Become a Skilled Speaker!icon4.8","Monthly • Thu, Dec 4 · 6:15 PM EST","Science Education"
"MBTI Mingle & Afterparty Hosts: ¥, Margarita-INFP, Mike-INFJ","by The NYC MBTI Meetup Groupicon4.8","Sat, Dec 13 · 3:00 PM EST","Science Education"
"Nightime Holiday Meetup Walking Tour! How New York City Re-Invented Christmas.","by Exploring NYC History and Neighborhoodsicon4.9","Fri, Dec 12 · 9:00 PM EST","Science Education"
"The New Art Of Living","by Financial literacy","Thu, Dec 4 · 5:30 PM EST","Science Education"
"The Myth of Sisyphus by Albert Camus","by NYC Philosophy and Psychology Readers Community Φ Ψicon4.8","Sat, Dec 13 · 10:00 AM EST","Science Education"
"The Legendary Holiday Lights of Dyker Heights & Optional Pre-Tour Dinner!","by Exploring NYC History and Neighborhoodsicon4.9","Tue, Dec 9 · 7:30 PM EST","Science Education"
"[NYC Stoics] In-person Stoic Discussion + hangout","by The Philosophy Labicon4.7","Sat, Dec 20 · 4:00 PM EST","Science Education"
"Bowling Alone: The Collapse of American Community by Robert Putnam (week 3)","by NYC Philosophy and Psychology Readers Community Φ Ψicon4.8","Sat, Dec 6 · 12:30 PM EST","Science Education"
"Applying Philosophic Principles to the Abortion Debate","by New York Intellectual Discussion Meetupicon4.7","Sun, Dec 7 · 3:00 PM EST","Science Education"
"The Discourses of Epictetus, episode 1","by The Philosophy Labicon4.7","Sun, Dec 7 · 12:00 PM EST","Science Education"
"MBTI Mingle — Hosts: ¥en, Margarita, Michael","by Applied Psychology Meetup NYCicon4.8","Sat, Dec 13 · 3:00 PM EST","Science Education"
"The Rebel by Albert Camus Part 2","by NYC Philosophy and Psychology Readers Community Φ Ψicon4.8","Sat, Jan 3, 2026 · 10:00 AM EST","Science Education"
"PRACTICE PUBLIC SPEAKING - Hybrid Meeting","by Graybar Toastmasters - Become a Skilled Speaker!icon4.8","Monthly • Thu, Dec 18 · 6:15 PM EST","Science Education"
"Blood Donating Types—One Act of Kindness Saves 3 Lives (Hosts: ¥, K, & Bill)","by The NYC MBTI Meetup Groupicon4.8","Thu, Dec 18 · 11:45 AM EST","Science Education"
"Come Home to Humorous Toastmasters for the Holidays","by Humorous Toastmastersicon4.8","Wed, Dec 10 · 6:30 PM EST","Science Education"
"Cultivating Loving-Kindness in Daily Life","by The Buddhist Center — Thubten Norbu Lingicon4.7","Every Thu • Dec 4 · 7:00 PM MST","Science Education"
"Blood Donation & Lunch—One Act of Kindness Saves 3 Lives (Host: ¥, K, & Bill)","by TED-Inspired Meetup NYCicon4.8","Thu, Dec 18 · 11:45 AM EST","Science Education"
"Eastside Toastmasters Meeting","by East side Toastmasters","Every Fri • Dec 5 · 7:15 PM EST","Science Education"
"(Topic to be selected at prior session)","by Cafe Philo New Yorkicon4.6","Every two weeks on Thu • Dec 4 · 6:30 PM EST","Science Education"
"FTI: Thinkers Multi-group BYOB potluck","by Conversations New Yorkicon4.7","Monthly • Fri, Dec 5 · 7:00 PM EST","Science Education"
"Bergen Rocks! Concert with Bergen’s Pop/Rock Ensemble and Songwriters Workshop","by Bergen Community College Education and Eventsicon4.0","Wed, Dec 10 · 6:00 PM EST","Science Education"
"The Friday Improv Jam ($10 IN PERSON)","by Public Speaking & Improv Practiceicon4.8","Every Fri • Dec 5 · 6:30 PM EST","Science Education"
"Radnarrate Working Group - AI Reports for MRI Scans","by Petri Dish Bioicon4.8","Wed, Dec 10 · 6:30 PM EST","Science Education"
"weekly astronomy / physics, see details section for RSVP info, sometimes cancels","by #""AAA.org & Darwin fans!"" Astronomy, Evolution, Science, NYCicon4.5","Monthly • Tue, Dec 16 · 12:30 PM EST","Science Education"
"Standing Room Only Toastmasters Club","by Toastmasters Clubs of Greater Cincinnatiicon4.8","Monthly • Thu, Dec 4 · 7:00 PM EST","Science Education"
"Money and the Law of Attraction Book Study","by Connecting Neuroscience, Psychology and Spiritualityicon4.6","Every two weeks on Wed • Dec 10 · 6:30 PM CST","Science Education"
"Finding the Right Relationship for you","by Improve Relationships Groupicon4.1","Tue, Dec 16 · 7:00 PM CST","Science Education"
"Overcoming Negative Emotions and Past Painful Experiences","by Improve Relationships Groupicon4.1","Tue, Dec 9 · 7:00 PM CST","Science Education"
"The Spoken Arts.     The Nobelists: What they say","by The Virtual Academyicon4.7","Wed, Dec 10 · 8:00 PM EST","Science Education"
"Stoicism 101: Week 10 - Death","by Stoic Philosophy Practice Groupicon4.7","Thu, Dec 4 · 7:30 PM EST","Science Education"
"Hegel's Science of Logic (Book 1: The Doctrine of Being)","by The Toronto Philosophy Meetupicon4.7","Every Thu • Dec 4 · 11:30 PM EST","Science Education"
"Philosophy of Mind Series (Sess 5) Thomas Metzinger: The Ego Tunnel","by History of Philosophy Boston Meetupicon4.8","Sat, Dec 13 · 11:00 AM EST","Science Education"
"Computational Bio Working Group - Cancers and Rare Disease - Virtual","by Petri Dish Bioicon4.8","Every Sun • Dec 7 · 7:30 PM EST","Science Education"
"Fire, Cells, and Circuits: A World Before Life","by Culture, AI, Science, and the Human Experience (CASHE)icon4.9","Wed, Dec 10 · 7:30 PM EST","Science Education"
"Bataille's Erotism: Death and Sensuality","by The Toronto Philosophy Meetupicon4.7","Every Sat • Dec 6 · 1:00 PM EST","Science Education"
"Do We Have A Responsibility To Address Historical Wrongdoings?","by The Maryland Socrates Cafe Meetup Groupicon4.5","Sun, Dec 7 · 11:00 AM EST","Science Education"
"Improve your Public Speaking! (ONLINE)","by Toastmasters - Toronto Downtown (DivE)icon4.9","Every Wed • Dec 10 · 7:25 AM EST","Science Education"
"Speculative, Philosophical, and Experimental Writing Critique Group","by Austin Philosophy Discussion Group (APDG)icon4.7","Every Thu • Dec 4 · 8:00 PM CST","Science Education"
"Worthington Toastmasters Club","by Toastmasters Clubs of Columbus and Central Ohioicon4.8","Every two weeks on Thu • Dec 4 · 7:00 PM EST","Science Education"
"Fear of Public Speaking? We can help!! Trinity Toastmasters","by Toastmasters Toronto Downtown Core (DivA)icon4.6","Every Thu • Dec 11 · 12:00 PM EST","Science Education"
"Is it 🤔 correct?","by Initial Curiosityicon4.7","Sat, Dec 6 · 4:00 PM MST","Science Education"
