"event_name","group","date","category"
"NY Professionals Happy Hour","by NY Young Professionalsicon4.5","Thu, Dec 4 · 7:00 PM EST","Socializing"
"Make friends over pub and grub!","by NY Pub and Grubicon4.6","Thu, Dec 4 · 7:00 PM EST","Socializing"
"Bi-Weekly Meet 'n Greet","by The Social Collective","Every two weeks on Thu • Dec 4 · 6:00 PM EST","Socializing"
"Holiday Hudson Yards & High Line Date Walk (20s, 30s, 40s Singles Stroll)","by The New York City Social Group (27,000+ members!)icon4.5","Sat, Dec 13 · 4:30 PM EST","Socializing"
"Brunch Social: Make New Friends","by NYC Sunday Social","Sun, Dec 14 · 12:30 PM EST","Socializing"
"LET'S GO TO THE GUGGENHEIM MUSEUM!","by New York City Art, Film, Museum, Social Clubicon4.7","Sat, Dec 6 · 1:00 PM EST","Socializing"
"[Tuesday] Discussion: Apology","by New York Interesting Conversationsicon4.6","Every two weeks on Tue • Dec 9 · 7:00 PM EST","Socializing"
"Let's Draw!","by Socially Awkward but I'm Tryingicon4.7","Sat, Dec 6 · 3:00 PM EST","Socializing"
"Brooklyn Bridge Sunset Date Walk (aka Singles Stroll)","by The New York City Social Group (27,000+ members!)icon4.5","Sat, Dec 6 · 4:00 PM EST","Socializing"
"Meet New Friends Where Connection Begins and Loneliness Ends","by Open Diner: Connect and Be Heardicon4.6","Every two weeks on Thu • Dec 4 · 6:30 PM EST","Socializing"
"CHRISTMAS Karaoke at Planet Rose and dinner at IHOP!","by Socially Awkward but I'm Tryingicon4.7","Sat, Dec 13 · 4:00 PM EST","Socializing"
"Dinner in Flatiron - Indian Cuisine","by Manhattan Women's Social Meetupicon4.9","Mon, Dec 8 · 6:30 PM EST","Socializing"
"Dance the EARLY Night Away! - East Village","by Manhattan Women's Social Meetupicon4.9","Sat, Dec 6 · 5:00 PM EST","Socializing"
"Holiday Brunch at La Grande Boucherie","by NYC Brunch Clubicon4.8","Sat, Dec 20 · 1:00 PM EST","Socializing"
"Bryant Park Winter Wonderland - Veg*n Dinner & Holiday Visit","by The New York City Vegetarian & Vegan Meetupicon4.7","Fri, Dec 12 · 6:45 PM EST","Socializing"
"Free NY Historical Society Museum Outing!","by 🗽NYC CONNECTS🗽icon4.5","Fri, Dec 5 · 5:45 PM EST","Socializing"
"Let's drink wine @ The Tippler! (Chelsea)","by MAGNUM - The NYC Gay Men's Wine Socialicon4.8","Thu, Dec 18 · 6:00 PM EST","Socializing"
"Board Games 🎲 & FREE Dinner: 3x Chance to Win free Entree 😀 🌭🎲🍻","by Jersey City Social - 🍓 letsbunch.com 🍓icon4.8","Every Fri • Dec 5 · 6:00 PM EST","Socializing"
"Free hip hop dance class!","by Fun events in NY!icon4.8","Every Sat • Dec 6 · 11:00 AM EST","Socializing"
"The Museum at FIT with optional Lunch","by Manhattan Women's Social Meetupicon4.9","Wed, Dec 17 · 12:00 PM EST","Socializing"
"Brunch Social: Make New Friends","by NYC Sunday Social","Sun, Dec 7 · 12:30 PM EST","Socializing"
"New Year's Eve Party 2026","by Socially Awkward but I'm Tryingicon4.7","Wed, Dec 31 · 8:00 PM EST","Socializing"
"Ladies Hangout — Secret Santa Edition","by NYC Speedfriendingicon4.6","Sat, Dec 13 · 12:00 PM EST","Socializing"
"Do We Still Know How to Flirt Over 40? — Free Interactive Discussion","by Conscious Connections for Singlesicon4.8","Tue, Dec 9 · 7:30 PM EST","Socializing"
"K-Town Food Crawl 2: The Finale","by NYC Foodies Clubicon4.6","Sat, Dec 13 · 5:00 PM EST","Socializing"
"Authenticity vs Approval","by Intellectual Discussionsicon4.6","Sun, Dec 7 · 6:00 PM PST","Socializing"
"Speed Dating in Manhattan - Age: 21-38 - Main Event","by Singles - Manhattan","Sat, Dec 6 · 6:00 PM EST","Socializing"
"How to Be Less Negative and Become More Positive and Free","by How To Build Lasting Friendships and Relationshipsicon3.7","Mon, Dec 8 · 7:00 PM EST","Socializing"
"NYC Ages 21-40s Board Game Event","by NYC Ages 21-40s Board Game Groupicon4.7","Every two weeks on Tue • Dec 9 · 6:00 PM EST","Socializing"
"NYC Tech Night : Networking for Tech Startups, Investors, Professionals","by New York Professional Networkingicon4.1","Thu, Dec 4 · 5:00 PM EST","Socializing"
"How to Get Over Negative Emotions","by Improving The Social Life!icon4.1","Mon, Dec 8 · 7:00 PM EST","Socializing"
"Hoboken Social Mixer 🍻 and Schmoozing 👨🏾‍🤝‍👨🏽💬👩🏿‍🤝‍👩🏾","by Jersey City Social - 🍓 letsbunch.com 🍓icon4.8","Wed, Dec 10 · 6:00 PM EST","Socializing"
"Foodie stops here - Best Pizza in NYC (Brooklyn)","by Neverwinter Free Partiesicon4.8","Sun, Dec 7 · 6:00 PM EST","Socializing"
"Free Coworking Session @ Shop Workspace (Gowanus)","by New York Coworking Friendsicon4.8","Fri, Dec 5 · 10:00 AM EST","Socializing"
"Let's Czech out Michelin Bib Gourmand Bohemian Spirit","by Xennials Dining Groupicon4.8","Wed, Dec 10 · 6:30 PM EST","Socializing"
"LET’S ALL GO TO 🎬 Classic Cinema Night – “Vertigo” at the Film Forum","by New York City Art, Film, Museum, Social Clubicon4.7","Sat, Dec 13 · 8:30 PM EST","Socializing"
"Dinner at Ivan Ramen - Large Group + Holiday Gift Exchange","by NYC Ramen Enthusiasts Clubicon4.8","Tue, Dec 16 · 6:30 PM EST","Socializing"
"Reduce Anxiety, Boost Energy","by Reinvent the Social Life Meetupicon4.1","Mon, Dec 8 · 7:00 PM EST","Socializing"
"Time for Axe throwing (Brooklyn)","by Neverwinter Free Partiesicon4.8","Sun, Dec 7 · 1:45 PM EST","Socializing"
"Visit to Rockefeller Center 🎄","by Good Vibes & Cool Peopleicon4.9","Sat, Dec 13 · 1:30 PM EST","Socializing"
"Glisten & Glow✨Walk High Line to Shine Bright","by NYC Foodies Clubicon4.6","Sat, Dec 20 · 6:00 PM EST","Socializing"
"Mix & Mingle Merry Meetup (Drink Specials)","by The New York City Social Group (27,000+ members!)icon4.5","Sat, Dec 6 · 7:30 PM EST","Socializing"
"Draw w/Friends Class - Learn to Draw (Beginning Level) 8-9pm ET","by Virtual Social Events for Professionals (Ages 35+)icon4.8","Sat, Dec 6 · 8:00 PM EST","Socializing"
"LET'S GO ON A 🎄 HOLIDAY GROUP TOUR + CHRISTMAS CAROLING + TAVERN WINE TASTING","by New York City Art, Film, Museum, Social Clubicon4.7","Sat, Dec 20 · 3:00 PM EST","Socializing"
"Paint with me 🌲✨️🖌","by Jersey City Social - 🍓 letsbunch.com 🍓icon4.8","Sat, Dec 6 · 2:00 PM EST","Socializing"
"Dinner at Berimbau","by NYC Socialicon4.9","Fri, Dec 12 · 7:00 PM EST","Socializing"
"🍾🎆THE TIMES SQUARE BALL DROP IN NEW YORK WITH YOUR FRIENDS CENTERCITY. EVENTS","by Philadelphia CenterCity.Eventsicon4.8","Wed, Dec 31 · 6:00 PM EST","Socializing"
"ALL ABOARD! - GROUP TOUR AT THE NEW YORK TRANSIT MUSEUM","by New York City Art, Film, Museum, Social Clubicon4.7","Sat, Dec 20 · 12:00 PM EST","Socializing"
"Little Island Social Walk (50 & Over)","by The New York City Social Group (27,000+ members!)icon4.5","Sun, Dec 7 · 12:00 PM EST","Socializing"
"December 2025 NYAPM Happy Hour","by New York Asian Professionals Meetup-12289 members & growing!icon4.4","Monthly • Mon, Dec 22 · 6:00 PM EST","Socializing"
"Holiday Soiree Potluck","by NYC Weekday+ Activities for Gen X Womenicon4.9","Mon, Dec 8 · 1:00 PM EST","Socializing"
"HOLIDAY LUNCHEON @ CALLE DAO & MACY'S WINDOWS (Only open to members I have met)","by Girls (over 45) Just Wanna Have Funicon4.8","Sat, Dec 13 · 1:00 PM EST","Socializing"
"Veg Night Out! Vegetarian/Vegan Holiday Party at Beauty & Essex","by The New York City Vegetarian & Vegan Meetupicon4.7","Mon, Dec 22 · 7:00 PM EST","Socializing"
"Modern Georgian fare @ Meama","by Manhattan Ethnic Foodiesicon4.8","Tue, Dec 9 · 6:30 PM EST","Socializing"
"Christmas House Long Island Meetup: Deck the Halls with Holiday Magic!","by Socially Awkward but I'm Tryingicon4.7","Sat, Dec 20 · 10:45 AM EST","Socializing"
"Social Networking Mixer for NYC Young Professionals","by NYC Social Young Professionalsicon4.7","Every Wed • Dec 10 · 7:00 PM EST","Socializing"
"Our Holiday Party at The Rose, Free Admission!","by NYC Singles for Casual Cocktailsicon4.4","Fri, Dec 12 · 6:00 PM EST","Socializing"
"DMV African Professionals Diaspora Meetup; Let’s Build Community!","by African Diaspora Professionals DMVicon4.7","Every two weeks on Fri • Dec 5 · 7:00 PM EST","Socializing"
"Dinner at Bar Primi","by NYC Socialicon4.9","Fri, Dec 19 · 6:45 PM EST","Socializing"
"Foodie warms here - Peruvian Food","by Neverwinter Free Partiesicon4.8","Sun, Dec 14 · 6:40 PM EST","Socializing"
"Harlem Daytime Party: 12-Year Reunion Celebration 🎶🍹(featuring DJ Kaos) !!!","by NYC Black & Latino Afterwork Drinks & Networking Groupicon4.5","Sat, Dec 6 · 2:00 PM EST","Socializing"
"Children’s Arts & Crafts at Church","by Fun events in NY!icon4.8","Every Sun • Dec 7 · 4:30 PM EST","Socializing"
"Senegalese Jollof Rice at Saint Louis Restaurant Keur Yayou Dara","by Xennials Dining Groupicon4.8","Sat, Dec 6 · 6:30 PM EST","Socializing"
"Classic French bistro fare @ Le Baratin","by Manhattan Ethnic Foodiesicon4.8","Tue, Dec 16 · 6:30 PM EST","Socializing"
"Holiday Pub Crawl! 🧑‍🎄🍺","by Good Vibes & Cool Peopleicon4.9","Sat, Dec 20 · 5:30 PM EST","Socializing"
"Dance Party Lip Sync Karaoke on Zoom 👏 Every Saturday @ 9:00 P.M. ET","by The Best Online Karaoke Group Meetupicon4.8","Every Sat • Dec 6 · 9:00 PM EST","Socializing"
"9:30 pm START: Let's Play Codenames!! (Directions below) - Fun Social Addiction","by Virtual Social Events for Professionals (Ages 35+)icon4.8","Sat, Dec 13 · 9:30 PM EST","Socializing"
"Lets Dine NYC: at Carmines","by Let’s Dine NYCicon4.8","Fri, Dec 19 · 7:15 PM EST","Socializing"
