"event_name","group","date","category"
"TOPSPIN - The NYC Ping Pong Meetup Group","by TOPSPIN - The NYC Ping Pong Meetup Groupicon4.8","Sat, Dec 6 · 2:00 PM EST","Sports Exercise Leisure"
"Hatha Yoga @5pm CT","by Hatha Yoga for Beginnersicon4.9","Every Sun, Tue, Wed, Thu, Fri • Dec 4 · 5:00 PM CST","Sports Exercise Leisure"
"Central Park beginner Runners","by Central Park beginner runnersicon4.9","Every Sun • Dec 7 · 10:00 AM EST","Sports Exercise Leisure"
"Outdoor Badminton in Central Park","by NYC Outdoor Badmintonicon4.7","Every Sat • Dec 6 · 12:00 PM EST","Sports Exercise Leisure"
"TOPSPIN - The NYC Ping Pong Meetup Group","by TOPSPIN - The NYC Ping Pong Meetup Groupicon4.8","Mon, Dec 8 · 6:30 PM EST","Sports Exercise Leisure"
"Ice skating at Wollman rink","by NYC Rollerbladersicon4.8","Fri, Dec 5 · 6:45 PM EST","Sports Exercise Leisure"
"Ice-skating at Bryant Park","by NYC Rollerbladersicon4.8","Sat, Dec 6 · 2:00 PM EST","Sports Exercise Leisure"
"Vintage subway plus Lower Midtown marvels","by NYC walks: Nature, beauty, & peaceicon4.8","Sun, Dec 7 · 11:45 AM EST","Sports Exercise Leisure"
"Casual Volleyball - North Jersey","by North Jersey Bowling, Volleyball, Tennis And Moreicon4.7","Sat, Dec 6 · 1:00 PM EST","Sports Exercise Leisure"
"Queens Futsal Club Thursday Game - 6PM-7:30PM @ Notorious Park LIC","by Queens Futsal Clubicon4.9","Every Thu • Dec 4 · 6:00 PM EST","Sports Exercise Leisure"
"Friday Evening Beginner Run","by RUN LICicon4.9","Every Fri • Dec 5 · 6:30 PM EST","Sports Exercise Leisure"
"Thursday Evening Low Intensity 5K","by RUN LICicon4.9","Every Thu • Dec 4 · 6:30 PM EST","Sports Exercise Leisure"
"Holiday Bar Crawl - North Jersey","by North Jersey Bowling, Volleyball, Tennis And Moreicon4.7","Fri, Dec 19 · 6:30 PM EST","Sports Exercise Leisure"
"9v9- Pickup Soccer Game @Nike Field","by NYC-MANHATTAN-INTERNATIONAL-COED-SOCCERicon4.8","Every Sat • Dec 6 · 1:30 PM EST","Sports Exercise Leisure"
"SATURDAY 8x8* Soccer @ 8AM (QUEENS) $7 - *Roosevelt Island*","by Feel Good Soccer (Co-ed NYC, Brooklyn, & Queens)icon4.9","Every Sat • Dec 6 · 8:00 AM EST","Sports Exercise Leisure"
"Tempo Thursdays","by The Most Informal Running Club Ever (TMIRCE):NYCicon4.9","Every Thu • Dec 4 · 7:00 PM EST","Sports Exercise Leisure"
"Monday Night Yoga","by Accountability Buddies (Fitness, Etc?)icon4.8","Every Mon • Dec 8 · 8:00 PM EST","Sports Exercise Leisure"
"6pm Williamsburg BIP{ Friday soccer w/ Large goals)","by SoccerMatesicon4.7","Every Fri • Dec 5 · 6:00 PM EST","Sports Exercise Leisure"
"American Dream Mall","by North Jersey Bowling, Volleyball, Tennis And Moreicon4.7","Sun, Dec 14 · 2:00 PM EST","Sports Exercise Leisure"
"ONE SIMPLE CHANGE FITNES  NUTRITION ONLINE EVENT.","by WEIGHT LOSS Challenge and Competition now ONLINEicon4.6","Every Tue, Thu • Dec 4 · 7:00 PM EST","Sports Exercise Leisure"
"Mens Indoor Pick-up Basketball in Long Island City","by LICYSL - Men's Indoor Pickup Basketball in Hunters Pointicon4.8","Every Mon, Wed • Dec 8 · 7:15 PM EST","Sports Exercise Leisure"
"Soccer - 11 v 11 @ Bushwick Inlet Park - Sunday - 7:45pm-10:00pm - CO-ED","by Brooklyn / Queens Coed Soccer Clubicon4.8","Every Sun • Dec 7 · 7:45 PM EST","Sports Exercise Leisure"
