"event_name","group","date","category"
"Develop Your Public Speaking Skills While Having Fun! LIVE","by West Side Talkers Toastmastersicon4.8","Thu, Dec 18 · 7:00 PM EST","Support Coaching"
"In-Person Meetup in New York City","by Men's ADHD Support Group Nationalicon4.9","Monthly • Sun, Dec 7 · 3:00 PM EST","Support Coaching"
"Manhattan Bi weekly Social Anxiety Group @ Brookfield Place","by Manhattan Bi weekly Social Anxiety Group","Every two weeks on Sun • Dec 7 · 4:00 PM EST","Support Coaching"
"What is Reflection?","by Autism On the Go 👍icon4.9","Every Thu • Dec 4 · 6:00 PM EST","Support Coaching"
"30s Speed-Dating (Monogamous)","by Talk to Strangers Brooklynicon4.6","Tue, Dec 16 · 7:00 PM EST","Support Coaching"
"Walk in Central Park for Divorced Women","by New York Walking Support Group For Divorced Womenicon4.9","Every Mon • Dec 8 · 6:30 PM EST","Support Coaching"
"NYC Men's Group","by Men's Group: Purpose + Intimacyicon5.0","Every Sun • Dec 7 · 4:30 PM EST","Support Coaching"
"Happy Hour everyday at 5:00","by Boston Happy Hour Meetup Groupicon4.7","Every Tue, Wed, Thu, Fri • Dec 4 · 5:00 PM EST","Support Coaching"
"Bryant Park Chillin'","by NYC Burn Survivor Meetup","Sun, Dec 14 · 1:00 PM EST","Support Coaching"
"Bachata class (beginner and advanced)","by Women Who Don't Drink and are still cool AFicon4.7","Every Tue • Dec 9 · 6:00 PM EST","Support Coaching"
"Narcissistic Abuse Recovery Therapy Group","by Narcissistic Abuse Recovery: Psychotherapy Group","Every Tue • Dec 16 · 5:00 PM EST","Support Coaching"
"Narcissistic Abuse Recovery Therapy Group","by Narcissistic Abuse Recovery: Psychotherapy Group","Every Wed • Dec 17 · 1:00 PM EST","Support Coaching"
"Narcissistic Abuse Recovery Therapy Group","by Narcissistic Abuse Recovery: Psychotherapy Group","Every Wed • Dec 17 · 11:30 AM EST","Support Coaching"
"Entrepreneurs, Executives, & Other Senior Leadership","by Entrepreneurs, Executives & Senior Leadership Group","Every Tue • Dec 9 · 1:00 PM EST","Support Coaching"
