"event_name","group","date","category"
"Saturday Science Fairs: Journal Reviews - Shaping the next 50 years of STEM","by Sesh Per Ankh","Every Sat • Dec 6 · 9:15 PM EST","Technology"
"Buffalo WordPress Users Meetup","by Buffalo WordPress Usersicon4.8","Monthly • Thu, Dec 4 · 6:00 PM EST","Technology"
"Unreal NYC | December Event","by Unreal NYCicon4.9","Thu, Dec 4 · 6:30 PM EST","Technology"
"AI/ML Conversations Meetup:Smart CPU Offloading for Scalable LLM Inference","by New York AI/ML Conversationsicon4.5","Monthly • Tue, Dec 9 · 5:30 PM EST","Technology"
"Flow State: The Art of AI Automation with n8n & Zapier","by NYC User Experience & Digital Product Designersicon4.4","Thu, Dec 4 · 6:30 PM EST","Technology"
"Bitcoin Developers’ Socratic Seminar 153","by BitDevs NYCicon4.9","Thu, Dec 4 · 6:00 PM EST","Technology"
"Google NY Site Reliability Engineering (SRE) Tech Talks, 16 Dec 2025","by New York Site Reliability Engineering Tech Talksicon4.7","Tue, Dec 16 · 6:00 PM EST","Technology"
"A Holiday-Themed Party & Tech Talk w/ Google, Redis, &  Structify Presenting","by New York AI Engineersicon4.8","Tue, Dec 9 · 6:00 PM EST","Technology"
"Tech Gather NYC December Meetup","by Tech Gather NYCicon4.5","Mon, Dec 8 · 7:00 PM EST","Technology"
"Rust NYC Unconf 2025: Our Biggest Event Yet!","by Rust NYCicon4.8","Fri, Dec 5 · 2:00 PM EST","Technology"
"Design to Dev: The Future of Handoffs","by UXDX Community New Yorkicon4.7","Thu, Dec 4 · 6:00 PM EST","Technology"
"New York Tech & Beer® - Happy Hour Social @ Valhalla","by New York Tech & Beer®icon4.7","Thu, Dec 11 · 6:30 PM EST","Technology"
"NYC Airflow Meetup at Astronomer HQ!","by NYC Apache Airflow Meetupicon4.7","Wed, Dec 17 · 5:30 PM EST","Technology"
"NYC Professionals Happy Hour","by City Social Happy Houricon4.4","Every two weeks on Tue • Dec 16 · 5:00 PM EST","Technology"
"NJ Code & Coffee meetup - December","by NJ Code & Coffeeicon4.8","Sat, Dec 13 · 2:00 PM EST","Technology"
"NYC - Agentic AI Meetup with Google Cloud","by ODSC AI New Yorkicon4.4","Fri, Dec 12 · 6:00 PM EST","Technology"
"December M365 Monthly Meetup -Building a Document Management System using Syntex","by Granite State Microsoft 365 Users Groupicon4.7","Monthly • Thu, Dec 4 · 6:00 PM EST","Technology"
"The 2025 iOSoho Holiday Party 🎉","by iOSoho - New York City's Largest iOS Engineer Meetupicon4.8","Wed, Dec 10 · 6:00 PM EST","Technology"
"AngularNYC - December 2025","by Angular NYCicon4.7","Thu, Dec 11 · 6:30 PM EST","Technology"
"Hybrid Event: Andrey Itkin - Semi-Analytical Pricing of American Options","by The Thalesiansicon4.6","Tue, Dec 9 · 6:00 PM EST","Technology"
"Tech Interview Workshop: Mock Interviews for Devs, PMs and other techies","by The Tech Lead NYC","Every Thu • Dec 4 · 6:00 PM EST","Technology"
"[Register on Luma] Tech and Startup Mixer - Tech, Drinks and Startups!","by Startup+ NYCicon4.2","Thu, Dec 4 · 5:00 PM EST","Technology"
"Pair Programming Workshop","by Build with Code - East Coasticon4.7","Thu, Dec 4 · 6:00 PM EST","Technology"
"NYC Blockchain Networking Event - Monthly 3rd Thurs. - Blockchain Cryptocurrency","by NYC Blockchain Networkicon4.5","Monthly • Thu, Dec 18 · 5:00 PM EST","Technology"
"Colossus: The Forbin Project: Screening and AGI Discussion","by New York AI Forumicon4.8","Thu, Dec 4 · 7:00 PM EST","Technology"
"[IN PERSON] Lean Coffee","by NYC Scrum User Groupicon4.7","Wed, Dec 10 · 6:00 PM EST","Technology"
"Holiday Party!   Winter Show + UX/UI Master Thesis Show","by NYC User Experience & Digital Product Designersicon4.4","Thu, Dec 11 · 6:30 PM EST","Technology"
"XR Holiday Party NYC","by AWE Nite NYCicon4.7","Wed, Dec 17 · 6:30 PM EST","Technology"
"AI Spark Night: Learn and Connect","by NYC Women in Machine Learning & Data Scienceicon4.8","Thu, Dec 11 · 6:00 PM EST","Technology"
"Mindstone New York December AI Meetup","by Mindstone NY AI Meetupicon4.4","Tue, Dec 9 · 6:30 PM EST","Technology"
"Hack Manhattan Open House","by Hack Manhattanicon4.7","Every Tue, Thu • Dec 4 · 7:00 PM EST","Technology"
