"event_name","group","date","category"
"WEBINAR 📲 Protecting The Places We Love / FNST❗️","by Heartland Chapter Florida Trail Associationicon4.9","Thu, Dec 4 · 6:00 PM EST","Traveling Outdoor"
"9 Mile 4 Island, 4 Bridges and a Cable Car Hike","by The New York Afternoon Hiking Meetupicon4.7","Sun, Dec 7 · 11:15 AM EST","Traveling Outdoor"
"Brooklyn Bridge Walk and Talk","by Neverwinter Free Hiking and Cyclingicon4.7","Sun, Dec 7 · 4:30 PM EST","Traveling Outdoor"
"New York Christmas Miracle Walk","by FreeWalkersicon4.8","Sat, Dec 6 · 2:00 PM EST","Traveling Outdoor"
"UNTERMYER GARDENS HOLIDAY LIGHTS","by Outdoors Clubicon4.8","Sun, Dec 28 · 9:55 AM EST","Traveling Outdoor"
"Dyker Heights Christmas Lights (Brooklyn)","by Neverwinter Free Hiking and Cyclingicon4.7","Sat, Dec 20 · 4:30 PM EST","Traveling Outdoor"
"PEEKSKILL’S FORT HILL AND DEPEW PARKS","by Outdoors Clubicon4.8","Sun, Dec 14 · 8:30 AM EST","Traveling Outdoor"
"Holiday Phone Photo Walk / Frolic","by Appalachian Mountain Club New York-North Jerseyicon4.8","Tue, Dec 16 · 12:00 PM EST","Traveling Outdoor"
"Manitou to Peekskill via the AT, Anthony's nose and Camp Smith trail","by New York Backpackersicon4.8","Sat, Dec 6 · 8:45 AM EST","Traveling Outdoor"
"CHELSEA ART GALLERY HOP-MEMBERS APPRECIATION EVENT-LIMITED SPACE","by New York City Hiking Toursicon4.9","Sat, Dec 13 · 1:15 PM EST","Traveling Outdoor"
"Winter Carp Fishing","by Central Park Fishing Groupicon4.9","Sun, Dec 7 · 1:30 PM EST","Traveling Outdoor"
"Walk & Talk - Peruvian nights (Manhattan)","by Neverwinter Free Hiking and Cyclingicon4.7","Sun, Dec 14 · 1:30 PM EST","Traveling Outdoor"
"BLAZE >> HOLIGAY SOCIAL","by BLAZE >> Backpacking Gay Men of NYCicon4.9","Wed, Dec 17 · 6:00 PM EST","Traveling Outdoor"
"NYB Holiday Party","by New York Backpackersicon4.8","Thu, Dec 18 · 7:00 PM EST","Traveling Outdoor"
"2 part event  series…Hot cocoa and gingerbread houses","by Westchester Adventuresicon4.8","Sat, Dec 6 · 1:00 PM EST","Traveling Outdoor"
"Sat Dec 6th Explore & Hike Kissena Park","by Kew Gardens Hiking  (Home of the Happy Hikers)icon4.8","Sat, Dec 6 · 10:30 AM EST","Traveling Outdoor"
"Friday evening climb in Bushwick (+ drinks @ KCBC)","by Rock Climb + Chill in Brooklynicon4.9","Fri, Dec 5 · 7:00 PM EST","Traveling Outdoor"
"2026 Morocco Group Trip Info and Q&A Event!","by Travelers, Creatives & Bloggers of the USAicon4.8","Thu, Dec 4 · 5:00 PM EST","Traveling Outdoor"
"FABULOUS URBAN HIKE IN FLUSHING WITH OPTION TO PARK AND MUSEUM","by Appalachian Mountain Club New York-North Jerseyicon4.8","Sat, Dec 6 · 12:30 PM EST","Traveling Outdoor"
"Holiday Train ride with brunch after","by New York Backpackersicon4.8","Sun, Dec 7 · 10:15 AM EST","Traveling Outdoor"
"Appalachian Mountain Club NY-NoJ Holiday Party 2025!","by Appalachian Mountain Club New York-North Jerseyicon4.8","Wed, Dec 17 · 7:00 PM EST","Traveling Outdoor"
"Crevasse Rescue and Rope Skill Review","by Mountaineering Club of New Yorkicon4.8","Sun, Dec 14 · 2:00 PM EST","Traveling Outdoor"
