"event_name","group","date","category"
"Shut Up & Write! *VIRTUAL* Evening Session","by Shut Up & Write!® Sterlingicon4.8","Every Thu • Dec 4 · 6:00 PM EST","Writing"
"Writers Meetup in Chelsea","by The Writing Groupicon4.8","Thu, Dec 18 · 7:00 PM EST","Writing"
"Writers Meetup in the West Village","by The Writing Groupicon4.8","Sun, Dec 14 · 2:00 PM EST","Writing"
"Writers Meetup in the West Village","by The Writing Groupicon4.8","Sun, Dec 7 · 3:30 PM EST","Writing"
"Society of Women Fiction Writers - Holiday Meet Up [In Person]","by Society of Women Fiction Writersicon5.0","Sun, Dec 7 · 2:45 PM EST","Writing"
"Writing Accountability Group (WAG)","by NYC Writing Accountability Group (WAG)icon4.8","Sun, Dec 14 · 1:00 PM EST","Writing"
"Writing Under the Influence - the Keep","by Writing Under the Influenceicon4.8","Mon, Dec 15 · 7:00 PM EST","Writing"
"creative writers meetup","by a community of writers","Fri, Dec 12 · 7:00 PM EST","Writing"
"Oakland Writers Write-In - All ages welcome","by Oakland Area Writers Collectiveicon4.8","Sat, Dec 6 · 9:30 AM EST","Writing"
"Writing Rendezvous","by Noname Writing Groupicon4.9","Monthly • Sun, Dec 14 · 12:00 PM EST","Writing"
"The Creative Writing Cafe","by The Creative Writing Cafeicon4.8","Sun, Dec 28 · 1:30 PM EST","Writing"
"Sunday live writing session","by Bushwick Writers Groupicon4.8","Every Thu • Dec 4 · 6:00 PM EST","Writing"
"Writing group meeting at a huge/unusual space in Alphabet City","by NYC laid-back writing groupicon4.9","Every Tue • Dec 9 · 7:15 PM EST","Writing"
"In-Person Writing Group at BedStuy's Bedford Library!","by Brooklyn Women's Writing Groupicon4.9","Monthly • Fri, Dec 5 · 7:00 PM EST","Writing"
"Wild Garlic Issue 8 Launch: So the Story Goes...","by Brooklyn Women's Writing Groupicon4.9","Sat, Dec 6 · 9:30 AM EST","Writing"
"Shut Up & Write!® at Brooklyn Art Haus","by Shut Up & Write!® NYCicon4.7","Every Sat • Dec 6 · 5:30 PM EST","Writing"
"Thursday writing session","by Writing Togethericon4.8","Wed, Dec 10 · 7:00 PM EST","Writing"
"Shut Up and Write [Astoria, Queens]","by Shut Up & Write!® NYCicon4.7","Fri, Dec 5 · 7:00 PM EST","Writing"
"Wednesday Writing","by Bushwick Writers Groupicon4.8","Wed, Dec 10 · 6:45 PM EST","Writing"
"Writing group meeting in Washington Heights","by NYC laid-back writing groupicon4.9","Wed, Dec 10 · 6:30 PM EST","Writing"
"Shut Up & Write!® at Brooklyn Art Haus","by Shut Up & Write!® NYCicon4.7","Sat, Dec 6 · 11:00 AM EST","Writing"
"Shut Up & Write!® in Forest Hills","by Shut Up & Write!® NYCicon4.7","Mon, Dec 8 · 7:00 PM EST","Writing"
"Weekly Writers Meeting: Two-hour Feedback Session!","by Calling All Writers ® (CAW)icon4.7","Thu, Dec 4 · 7:00 PM EST","Writing"
"Writers Meetup & Critique @OUTRO NYC - Bring pages from your screenplay or novel","by skillca.mp (US)icon4.5","Every Thu • Dec 4 · 7:00 PM EST","Writing"
"BWWG Conference: Writing Our Lives","by Brooklyn Women's Writing Groupicon4.9","Fri, Dec 12 · 4:00 PM EST","Writing"
"In-person writing night at Nook!","by Brooklyn Women's Writing Groupicon4.9","Monthly • Fri, Dec 5 · 7:00 PM EST","Writing"
"Writing group meeting in East Harlem","by NYC laid-back writing groupicon4.9","Monthly • Fri, Dec 5 · 7:00 PM EST","Writing"
"JCW Writing Prompts (In-Person & Online)","by Jersey City Writersicon4.9","Monthly • Fri, Dec 12 · 8:00 PM EST","Writing"
"Writing Across the Spectrum (In Person)","by Jersey City Writersicon4.9","Every Tue • Dec 9 · 7:30 PM EST","Writing"
"JCW 3rd Annual Holiday Party Awards","by Jersey City Writersicon4.9","Sat, Dec 6 · 5:00 PM EST","Writing"
"JCW Tertulia, Writers Taller (In Person)","by Jersey City Writersicon4.9","Thu, Dec 4 · 6:30 PM EST","Writing"
"Joint NYPL-NWU Open Mic (Virtual Event)","by NYPL/NWU Joint Open Mic Seriesicon4.7","Thu, Dec 4 · 7:00 PM EST","Writing"
"Shut Up & Write! *VIRTUAL* Evening Session","by Shut Up & Write!® Sterlingicon4.8","Monthly • Fri, Dec 12 · 8:00 PM EST","Writing"
"Live NYPL-NWU Open Mic (In-person Event)","by NYPL/NWU Joint Open Mic Seriesicon4.7","Every Thu • Dec 4 · 7:00 PM EST","Writing"
"Creative Writing in Harlem","by Creative Writing in West Harlem","Thu, Dec 11 · 7:00 PM EST","Writing"
"First session of Do the Write Thing, with Rafi Zabor:","by Do the Write Thing, with Rafi Zabor","Mon, Dec 8 · 7:00 PM EST","Writing"
"Weekly Writers Meeting: Fun writing activity & Feedback session!","by Calling All Writers ® (CAW)icon4.7","Every Thu • Dec 4 · 7:00 PM EST","Writing"
